,PCT,Rank
Ohio State,1.0,1
Virginia,0.9076169559361067,2
LSU,0.9053410585185171,3
Kansas,0.899230348328022,4
Arizona State,0.8924630453064508,5
Oklahoma,0.8455835380887592,6
Michigan,0.8403267965371277,7
Boston College,0.8402315762810263,8
Missouri,0.8333588722212549,9
South Florida,0.78405065926263,10
Oregon,0.7802650310651014,11
West Virginia,0.7746735214432771,12
Virginia Tech,0.7543799579153126,13
Penn State,0.7466137791457246,14
Hawai'i,0.7451847218876924,15
Connecticut,0.7391280258656001,16
Boise State,0.7160591077276656,17
Kentucky,0.712509801176087,18
Texas A&M,0.708687023749002,19
Alabama,0.7028816597479848,20
South Carolina,0.6929172047799215,21
USC,0.6838369903398094,22
Wake Forest,0.6778637496852071,23
Texas Tech,0.669952547896233,24
Florida,0.6674318287489678,25
UCLA,0.6495399252409908,26
Georgia,0.646496586173192,27
Oklahoma State,0.6454232960558297,28
Purdue,0.6435545719670793,29
Auburn,0.6412666392036688,30
Rutgers,0.6386680090617074,31
Texas,0.6289446087407596,32
Air Force,0.62797380258741,33
Wisconsin,0.6205260195676563,34
BYU,0.600115802049741,35
New Mexico,0.5909820757189004,36
Georgia Tech,0.5907364426175962,37
Utah,0.5874625580971062,38
Clemson,0.5856372230721018,39
Fresno State,0.5831613805032343,40
Illinois,0.5824981807888989,41
Cincinnati,0.5807296610962527,42
Troy,0.5786295222280666,43
Tennessee,0.5762042937941121,44
California,0.568708765417703,45
Michigan State,0.5568555918457614,46
Kansas State,0.5432621420411899,47
Oregon State,0.5339244137009295,48
Maryland,0.5251755093424033,49
Ball State,0.5197333114185719,50
Miami,0.5167454353970841,51
Northwestern,0.5139904230329395,52
Vanderbilt,0.5012465372783922,53
Florida State,0.4940703029561205,54
Navy,0.4853283532115518,55
Bowling Green,0.4790576096265457,56
UCF,0.47524184476853454,57
Wyoming,0.4748813639450712,58
Colorado,0.4742309143563246,59
Indiana,0.47247537660973227,60
Western Kentucky,0.44201246745916806,61
UTEP,0.44189215263770343,62
Houston,0.43940240084092097,63
Arkansas,0.43753531881379937,64
Central Michigan,0.4373124910507641,65
Stanford,0.4335265247817236,66
Tulsa,0.4326911983719403,67
Florida Atlantic,0.4281023122623212,68
Louisville,0.415265901164581,69
TCU,0.4094033354637634,70
Pittsburgh,0.4062607289409073,71
Southern Mississippi,0.40438081951470856,72
Nebraska,0.39585748612805655,73
East Carolina,0.39348726675866846,74
Miami (OH),0.3925501325278963,75
Mississippi State,0.3859415106147886,76
New Mexico State,0.37366748630655827,77
Akron,0.33242498347699634,78
Nevada,0.32826380612576306,79
Temple,0.3189519644041221,80
Middle Tennessee,0.3152683372113033,81
Arkansas State,0.3008406041890422,82
Toledo,0.28950099988030337,83
San José State,0.2849778058950244,84
Memphis,0.2843843648223571,85
Army,0.2787326784714284,86
Iowa,0.27825964881208626,87
North Carolina,0.2762236662576581,88
Western Michigan,0.2729228519264551,89
Kent State,0.2697276704539176,90
Washington,0.2545642165484421,91
Baylor,0.2544156679261472,92
Ohio,0.2377210881436273,93
Buffalo,0.23286340620455112,94
Louisiana Monroe,0.22228553496706488,95
Louisiana Tech,0.21959734485202861,96
Washington State,0.21871086339291348,97
NC State,0.21663097017869265,98
San Diego State,0.21211557115655771,99
UAB,0.19852764640640802,100
Syracuse,0.18910140128516628,101
Tulane,0.1850400999177115,102
UNLV,0.16487485867644888,103
Notre Dame,0.1402845511210104,104
Ole Miss,0.13700728588540234,105
Duke,0.13158886887763116,106
Arizona,0.12828220107968064,107
Rice,0.11461682897576536,108
Eastern Michigan,0.11454243392479235,109
North Texas,0.11182965152206747,110
Colorado State,0.10251858253531071,111
SMU,0.0777253837768484,112
Louisiana,0.0690801997581495,113
Iowa State,0.0643322558318109,114
Minnesota,0.05703741636400578,115
Idaho,0.0317913853042362,116
Northern Illinois,0.027430465644632085,117
Utah State,0.00861699851379899,118
Florida International,0.0014062229422051042,119
Marshall,0.0,120
