,PCT,Rank
Clemson,1.0,1
LSU,0.9992060840985919,2
Ohio State,0.9970211085024799,3
Michigan State,0.9690275581229807,4
Iowa,0.9675580938526704,5
Baylor,0.8953046225091021,6
Alabama,0.8938758169296201,7
TCU,0.878847008582045,8
Stanford,0.8786522772934588,9
Memphis,0.8776572479042198,10
Oklahoma State,0.816428209428269,11
Oklahoma,0.8150098769635363,12
Florida,0.8077341698244407,13
Utah,0.8047820316156153,14
Toledo,0.8006013200521622,15
Temple,0.7924361866578438,16
Notre Dame,0.7783315263267898,17
Houston,0.7706280634150531,18
North Carolina,0.7695888039008151,19
Pittsburgh,0.76629113639334,20
Ole Miss,0.7303918593341765,21
Florida State,0.727167067636683,22
Mississippi State,0.72639055435996,23
Duke,0.7236761530730044,24
Marshall,0.7198217778282046,25
Appalachian State,0.7182800778231275,26
Northwestern,0.7176017094126985,27
Penn State,0.7125511820143763,28
Michigan,0.7048063646778815,29
Wisconsin,0.6937816720695973,30
Washington State,0.6882263015792669,31
UCLA,0.6722504694835747,32
Bowling Green,0.6569088869907411,33
Navy,0.649887317541342,34
BYU,0.6495748495190127,35
Texas A&M,0.6323387186015161,36
Boise State,0.6310067684614459,37
California,0.6193760266655706,38
Western Kentucky,0.6187279829780067,39
Georgia,0.5879831759662035,40
USC,0.5659363881563042,41
Georgia Southern,0.5562265399098817,42
Arizona State,0.5460737967205161,43
San Diego State,0.5457066347348911,44
Texas Tech,0.5427183183617421,45
Arizona,0.5336902522602285,46
NC State,0.5283793719491081,47
Western Michigan,0.5225217004282687,48
Cincinnati,0.520669823684603,49
Oregon,0.5170241036834279,50
Louisiana Tech,0.5076527439082905,51
Texas,0.5027555840973443,52
South Florida,0.49479831744819713,53
Arkansas State,0.4946896716377969,54
Miami,0.49150955533501717,55
Utah State,0.49069960972387794,56
Southern Mississippi,0.48452959077459035,57
Ohio,0.476217954367665,58
Northern Illinois,0.47340457333370034,59
Illinois,0.46890187610776496,60
Auburn,0.46765244928816263,61
Air Force,0.4577812649817605,62
Louisville,0.4538939119487117,63
West Virginia,0.4460381667945286,64
Rice,0.44588499401265297,65
East Carolina,0.44343296790511666,66
Kentucky,0.4362925485476874,67
Arkansas,0.4352282055061849,68
Minnesota,0.4343001892090165,69
Central Michigan,0.43221230096362584,70
Rutgers,0.3975116343178683,71
Georgia Tech,0.3959692571317667,72
Florida International,0.3892584673903617,73
Indiana,0.38875275231182876,74
San José State,0.386540930662498,75
Tennessee,0.3822455621474954,76
South Carolina,0.37925557601291604,77
Nevada,0.37717390299062714,78
Vanderbilt,0.37073756636965416,79
Buffalo,0.3676335911880975,80
New Mexico,0.36293712742462464,81
Colorado,0.36189803488652966,82
Akron,0.3604208155020206,83
Washington,0.3591235963997012,84
Idaho,0.35897220469668456,85
Tulsa,0.356738286537759,86
Missouri,0.35310139771925986,87
Old Dominion,0.34651133172926774,88
Colorado State,0.3423021971156893,89
Virginia Tech,0.3315630522648964,90
Kansas State,0.3251232462507293,91
Texas State,0.32380680633905634,92
UTEP,0.3204866527109862,93
Nebraska,0.3192116043298806,94
South Alabama,0.31890594522360616,95
Kent State,0.30395774924730634,96
Georgia State,0.29947482014141563,97
Syracuse,0.2993203115503956,98
Virginia,0.2942227154326429,99
Louisiana,0.28314128804153693,100
Middle Tennessee,0.27691329126480724,101
Wake Forest,0.2730606228872474,102
Tulane,0.26662712486070594,103
Iowa State,0.26371684200506773,104
Connecticut,0.26223229422316996,105
Maryland,0.23344740679602738,106
Boston College,0.22854425439683668,107
UNLV,0.22816517216988957,108
Charlotte,0.21378533515511727,109
Troy,0.2034455786855547,110
Fresno State,0.2015920692862682,111
Hawai'i,0.1879471128298893,112
Oregon State,0.1818673630388159,113
Army,0.17043312433393332,114
UMass,0.16432091623594475,115
SMU,0.16204336164497324,116
Ball State,0.16080122611695002,117
UT San Antonio,0.1426173571645024,118
Louisiana Monroe,0.13154060510540133,119
Florida Atlantic,0.12192233399697999,120
Wyoming,0.11947018729556269,121
Purdue,0.11812284752097613,122
Eastern Michigan,0.09034598579287201,123
Miami (OH),0.08699260391233826,124
North Texas,0.0675469611821562,125
New Mexico State,0.024843146553726936,126
Kansas,0.009105533755428552,127
UCF,0.0,128
