Team,Conf,PCT,W,L
Western Kentucky Hilltoppers,Conference USA,0.20429830544064395,3,9
New Mexico Lobos,Mountain West,0.19445423140299994,3,9
Texas State Bobcats,Sun Belt,0.19075161051630926,3,9
New Mexico State Aggies,FBS Independents,0.18124365941642423,3,9
UTSA Roadrunners,Conference USA,0.17942835859919154,3,9
Tulsa Golden Hurricane,American Athletic,0.17934921089051495,3,9
Bowling Green Falcons,Mid-American,0.17357994656330306,3,9
Illinois Fighting Illini,Big Ten,0.17058629270012649,4,8
Georgia State Panthers,Sun Belt,0.16629437946132003,2,10
Kansas Jayhawks,Big 12,0.15935695505282071,3,9
San Jose State Spartans,Mountain West,0.13130555890260875,1,11
Kent State Golden Flashes,Mid-American,0.11934034215757262,2,10
North Carolina Tar Heels,ACC,0.11875819937645343,2,9
Rice Owls,Conference USA,0.11557052145098884,2,11
Oregon State Beavers,Pac-12,0.09284467040388122,2,10
Arkansas Razorbacks,SEC,0.09012957570338745,2,10
Louisville Cardinals,ACC,0.08564209653814962,2,10
UConn Huskies,American Athletic,0.08025417484644536,1,11
UTEP Miners,Conference USA,0.07566316428305414,1,11
Central Michigan Chippewas,Mid-American,0.057603368786867816,1,11
Rutgers Scarlet Knights,Big Ten,0.0,1,11
