,PCT,Rank
Nebraska,1.0,1
Florida State,0.9821828276463149,2
Michigan State,0.8134179471606726,3
Michigan,0.7807022242751946,4
Kansas State,0.7734749773396836,5
Penn State,0.7720301900995408,6
Alabama,0.7614863710196336,7
Virginia Tech,0.7491246143944412,8
Wisconsin,0.7256682848873035,9
Mississippi State,0.7123180386890251,10
Marshall,0.6935971402854962,11
Tennessee,0.641935911777947,12
Arkansas,0.6169210974277968,13
Georgia,0.6167189247937286,14
Miami,0.6107100718255202,15
Oregon,0.6051144421221779,16
Colorado,0.5836686260197144,17
Texas A&M,0.5713115174919268,18
Florida,0.568089623650242,19
Illinois,0.5617754250967637,20
Ole Miss,0.5568059424679834,21
Texas,0.5361018467111233,22
Utah,0.5332530004920164,23
Stanford,0.4977432178251229,24
East Carolina,0.48780866978477694,25
BYU,0.48742346579123863,26
Purdue,0.48160112045403647,27
Syracuse,0.4771584192936318,28
Southern Mississippi,0.47334137731002957,29
Georgia Tech,0.4649357527359501,30
Washington,0.44347940326935853,31
Oklahoma,0.44243444824307704,32
Minnesota,0.44018970906403154,33
Hawai'i,0.4375861036579976,34
Texas Tech,0.4330995606068815,35
Boston College,0.43239337731066324,36
Wake Forest,0.42903397035672614,37
TCU,0.4253392513113836,38
Wyoming,0.4219273989124949,39
Louisiana Tech,0.4191483206020532,40
Houston,0.41690350934720233,41
Kentucky,0.4128891546981228,42
Boise State,0.41280697877549705,43
Virginia,0.40350358747420717,44
Western Michigan,0.4032326648183579,45
Akron,0.3976333220229762,46
Miami (OH),0.38906948075956177,47
Ohio State,0.38069987349508094,48
Colorado State,0.3773779562564809,49
Clemson,0.37629013157081853,50
Air Force,0.37251671604255354,51
Idaho,0.36369834422074016,52
Oklahoma State,0.36020497408597585,53
Fresno State,0.3601945761609987,54
Oregon State,0.35346925840174204,55
Louisville,0.3487804955900696,56
Arizona,0.34277930958665237,57
Notre Dame,0.33688039915105794,58
Toledo,0.33642107033996654,59
Arizona State,0.3332352888528985,60
UAB,0.33116377872379255,61
NC State,0.330385504177387,62
Rice,0.3303143138747668,63
Auburn,0.32593533802285457,64
Vanderbilt,0.31680578405961984,65
San Diego State,0.3153705900299677,66
USC,0.31499274806512106,67
New Mexico State,0.3096475445594806,68
Kansas,0.2866126937690704,69
Missouri,0.2769533414501779,70
Maryland,0.27535560618286853,71
Pittsburgh,0.2746789997082118,72
New Mexico,0.27306551072915686,73
Northern Illinois,0.26269654121674735,74
Indiana,0.26091210902043754,75
LSU,0.2598776770617403,76
UTEP,0.2556059808978523,77
West Virginia,0.25457244473845037,78
Iowa State,0.24970114994967368,79
UNLV,0.24959229489047485,80
San José State,0.24830805848690235,81
California,0.24802866177565006,82
Utah State,0.24683632202392664,83
Navy,0.24362750716877052,84
UCLA,0.23595798249841038,85
Memphis,0.23529583237100254,86
Tulane,0.23508096409864532,87
Ohio,0.23441251248653927,88
Nevada,0.22685357269470685,89
Louisiana Monroe,0.21782237131617393,90
Bowling Green,0.2159275395791217,91
Eastern Michigan,0.21503606483210774,92
Cincinnati,0.21262012502221678,93
Northwestern,0.20504635820756503,94
UCF,0.20003890192589724,95
North Texas,0.19656233575032817,96
Duke,0.19150187286208115,97
SMU,0.19149333496810766,98
North Carolina,0.1893640015093149,99
Army,0.18025928280930262,100
Central Michigan,0.17941006507732388,101
Washington State,0.1640445433229449,102
Arkansas State,0.15280056323677713,103
Temple,0.14834905853157349,104
Middle Tennessee,0.12014046227995892,105
Kent State,0.11596931186456466,106
Tulsa,0.11296338010498672,107
Louisiana,0.10414191932008596,108
Baylor,0.07585121842960915,109
Iowa,0.06917893460237445,110
Buffalo,0.056425038469471084,111
Rutgers,0.05576171453609005,112
Ball State,0.015508200959384377,113
South Carolina,0.0,114
