,PCT,Rank
Wisconsin,1.0,1
Ohio State,0.9897365465402729,2
Georgia,0.9886716294731965,3
Alabama,0.977753995652201,4
Oklahoma,0.9481763857834002,5
Penn State,0.8824876106182019,6
Clemson,0.8643590926296326,7
Northwestern,0.8296152167559082,8
Washington,0.8095472296901569,9
Michigan State,0.7784054431657248,10
Notre Dame,0.7515148323338402,11
USC,0.7484473475736511,12
UCF,0.7477431969577182,13
TCU,0.7301265246771729,14
Auburn,0.7240503616615958,15
Miami,0.6972546049582349,16
South Carolina,0.6703174835270984,17
Oklahoma State,0.6648206791419405,18
Stanford,0.6602834136221387,19
South Florida,0.6577242932758041,20
LSU,0.6563097740834196,21
Washington State,0.6503238064992326,22
Wake Forest,0.6480324912303369,23
Utah,0.6287065353342607,24
Virginia Tech,0.6272454609922421,25
Michigan,0.6216379934571399,26
Mississippi State,0.5989557899506748,27
Iowa,0.59119226210772,28
Kansas State,0.5525018587851525,29
Duke,0.54831911248001,30
NC State,0.5425956357490727,31
Memphis,0.5240379066475376,32
Louisville,0.5205415926348036,33
Army,0.510113595519759,34
Georgia Tech,0.5091779402879942,35
Oregon,0.5071032370785196,36
Navy,0.502795393299527,37
Purdue,0.5020603119895104,38
Arizona State,0.5006088605300956,39
San Diego State,0.4911506361396839,40
Troy,0.4904428196637115,41
Iowa State,0.4873528051386957,42
Texas A&M,0.4727559614378254,43
West Virginia,0.4685796303877523,44
Boise State,0.46510405139586697,45
Toledo,0.46107908981659407,46
UCLA,0.43563836481639917,47
Minnesota,0.4306683241530376,48
Kentucky,0.43028536906571013,49
Florida State,0.42802933769969514,50
Ole Miss,0.4167651299065286,51
Ohio,0.413827566790172,52
Texas,0.41026923864510195,53
Texas Tech,0.40267892268901656,54
SMU,0.4007404464489288,55
Missouri,0.3992970140583505,56
Houston,0.3939325243089958,57
Virginia,0.3919953845803808,58
Northern Illinois,0.38754052453938487,59
Florida Atlantic,0.386535887958334,60
Arizona,0.3805762305571392,61
Vanderbilt,0.37380920566827247,62
Temple,0.3656751968450692,63
Marshall,0.3648273139667517,64
UT San Antonio,0.36372369569317425,65
Fresno State,0.363475260774868,66
Colorado,0.3625017840041534,67
Appalachian State,0.3594192539433851,68
Florida International,0.3566740593783408,69
Central Michigan,0.34864429845001266,70
Indiana,0.3418670715235706,71
North Texas,0.337122385787537,72
Pittsburgh,0.33698769088844444,73
Louisiana Tech,0.33634304685475097,74
California,0.33580331897166904,75
Boston College,0.3323474121557946,76
UAB,0.31592596299231557,77
Wyoming,0.31526946855689697,78
Maryland,0.31339060072849423,79
Middle Tennessee,0.3001962921671359,80
Tulane,0.29873797994882756,81
Nebraska,0.2942831199078316,82
Eastern Michigan,0.29040278159859184,83
Buffalo,0.2886554710494909,84
Western Michigan,0.2797376427978977,85
Southern Mississippi,0.273853651039082,86
New Mexico State,0.2716430610631408,87
Tennessee,0.27102715202611166,88
Rutgers,0.26801844194902197,89
Miami (OH),0.26163152092300757,90
Cincinnati,0.26007301489462487,91
Utah State,0.25637261558000063,92
Georgia State,0.2544928567439494,93
Colorado State,0.25393909549040344,94
Florida,0.24876101264118552,95
Arkansas State,0.23493710997532388,96
Air Force,0.23287300165679692,97
Old Dominion,0.23084074686170403,98
Akron,0.22564067984520017,99
Western Kentucky,0.2149974280109575,100
East Carolina,0.1975179072648786,101
Syracuse,0.19255686577876696,102
UNLV,0.1915062786604146,103
Ball State,0.17961622709493796,104
Idaho,0.1794633301824545,105
New Mexico,0.1756009456773321,106
North Carolina,0.1725013082697125,107
Arkansas,0.16391881074663417,108
Illinois,0.15803691285579247,109
Tulsa,0.15282451811203757,110
Louisiana,0.139984073238283,111
Hawai'i,0.13619118732974397,112
BYU,0.13062613175871068,113
South Alabama,0.12821332759694123,114
Connecticut,0.12020708927053364,115
Coastal Carolina,0.11187826162498474,116
Louisiana Monroe,0.10002875090751517,117
Nevada,0.09553277086354076,118
Kent State,0.08441125794528226,119
San José State,0.0838674759773996,120
Texas State,0.08256838682587911,121
Rice,0.06496091738147491,122
UMass,0.054115661384635416,123
Bowling Green,0.051895760378767364,124
Georgia Southern,0.04713163158297534,125
Oregon State,0.04051131110343506,126
Baylor,0.03837422925849546,127
Kansas,0.02528069366218305,128
Charlotte,0.014605709226972907,129
UTEP,0.0,130
