,PCT,Rank
Ohio State,1.0,1
Florida,0.9490840377305213,2
Northwestern,0.9137282605765913,3
Tennessee,0.8440981034653154,4
Nebraska,0.7976178662654785,5
Notre Dame,0.7929195594266008,6
Florida State,0.7906790574439752,7
Virginia Tech,0.7570655386934538,8
Toledo,0.734504177804838,9
Arkansas,0.7306215916176899,10
Alabama,0.7275747233292775,11
Texas,0.7196682157305155,12
Oregon,0.7130845168609294,13
USC,0.7091430310265654,14
Washington,0.7065751361132027,15
Virginia,0.7000872423874998,16
Miami (OH),0.6932007497196415,17
Michigan,0.6850303585404827,18
Kansas State,0.679291017109081,19
Syracuse,0.6626318919568333,20
Clemson,0.6553230210494778,21
Colorado,0.6464685692329515,22
Kansas,0.6312753327332201,23
Texas A&M,0.6246746933236178,24
Miami,0.6241438279882202,25
Texas Tech,0.62189563750208,26
Auburn,0.6211321031627779,27
Nevada,0.5968949258651395,28
Arizona State,0.5959219895922726,29
East Carolina,0.595281967560978,30
Penn State,0.5897049745575913,31
Stanford,0.5813758569085717,32
Air Force,0.5791333570027075,33
Colorado State,0.5689296492965292,34
BYU,0.567241390224016,35
San Diego State,0.5598690303602291,36
Baylor,0.5562172930206495,37
Michigan State,0.5528318838113022,38
Georgia Tech,0.5295336073925903,39
UCLA,0.5282472310214035,40
Oklahoma,0.5160823706335279,41
Ball State,0.5071114032264117,42
Utah,0.4981328821009762,43
Louisville,0.4958785251766945,44
TCU,0.4910481096574669,45
Western Michigan,0.48337326496312205,46
Maryland,0.4689514933139218,47
Louisiana,0.4598374566130175,48
Wisconsin,0.45396451978533436,49
Georgia,0.4440659946839137,50
LSU,0.4430697879417224,51
Cincinnati,0.4386162844823226,52
Illinois,0.43569140099816883,53
South Carolina,0.43450991389751975,54
Iowa,0.42271078358942676,55
Ole Miss,0.4127733927968313,56
Eastern Michigan,0.40013627678737457,57
Purdue,0.39322366971964795,58
Wyoming,0.3891071592835257,59
Arizona,0.38836795963567466,60
Arkansas State,0.38823595088547647,61
West Virginia,0.3865463981593657,62
North Carolina,0.38598084108607167,63
Southern Mississippi,0.3813305775371043,64
Fresno State,0.37830449573995767,65
Hawai'i,0.3681676933097877,66
Bowling Green,0.3677149985982696,67
Army,0.35324902577882583,68
New Mexico,0.3269576774832072,69
Navy,0.32673249202403665,70
Tulsa,0.3149651048345655,71
Central Michigan,0.31290216411602034,72
Louisiana Tech,0.2979949705378941,73
Kentucky,0.29248929435282844,74
Oklahoma State,0.27729095835626993,75
Iowa State,0.27441550290841554,76
Pacific,0.27106073758602056,77
Northern Illinois,0.2681633760213221,78
Utah State,0.2678980798228612,79
Minnesota,0.2659579648174031,80
Rutgers,0.2634208606271341,81
Mississippi State,0.2538793122000579,82
San José State,0.251827974595769,83
New Mexico State,0.24906575122653218,84
Ohio,0.23832726935248869,85
Boston College,0.22779289277406709,86
California,0.2250348756484639,87
Memphis,0.22498581402272114,88
Missouri,0.21161897133592406,89
UNLV,0.2066885869164892,90
North Texas,0.1995226283625258,91
Akron,0.19409220569992383,92
Vanderbilt,0.19401641989644758,93
Washington State,0.19341677780403585,94
Duke,0.19080609239180243,95
NC State,0.1795985825721006,96
Louisiana Monroe,0.17586747282033188,97
Rice,0.15773930713700493,98
Houston,0.14789624836829984,99
Indiana,0.14093803712212272,100
UTEP,0.10588639568564573,101
Tulane,0.10052515120015731,102
Pittsburgh,0.08687902005425913,103
Kent State,0.06501779530140672,104
Temple,0.05949688486667165,105
Wake Forest,0.04158410842855442,106
SMU,0.01979010709668333,107
Oregon State,0.0,108
