,PCT,Rank
Texas A&M,0.9999999999999999,1
Miami,0.9965334148522638,2
Alabama,0.9955331444497338,3
Florida State,0.9541899352202426,4
Notre Dame,0.9001556489252067,5
Syracuse,0.8037301024180203,6
Ohio State,0.7898759020833698,7
Stanford,0.7807200676507109,8
Michigan,0.7801875439799753,9
Georgia,0.7684576283484696,10
Washington,0.743414707664688,11
Florida,0.7336418013478156,12
NC State,0.724045091339928,13
Colorado,0.7207153767423949,14
Bowling Green,0.6971369178321656,15
Hawai'i,0.6879025185980596,16
Ole Miss,0.6809695650928782,17
Washington State,0.6707727903991036,18
Nebraska,0.6258066772146704,19
North Carolina,0.6247868870143417,20
Tennessee,0.6148216443513219,21
Toledo,0.6097513530261441,22
Boston College,0.5922074686553216,23
BYU,0.5909633127886232,24
Wake Forest,0.5741894205600919,25
Akron,0.5674772462872332,26
Penn State,0.5653084762163816,27
Fresno State,0.5567440384711425,28
Mississippi State,0.5510003170124425,29
Rutgers,0.5398623255913979,30
USC,0.5335348240108341,31
West Virginia,0.5288564895317279,32
Baylor,0.5099843744061978,33
Virginia,0.5029020090324807,34
Southern Mississippi,0.5007812796901078,35
Western Michigan,0.5005289357914201,36
Oregon,0.4916805967074714,37
Air Force,0.4847313405724091,38
Arizona State,0.4846528451438551,39
Arizona,0.4815740934908562,40
San José State,0.47994287662549084,41
Nevada,0.47508447613070603,42
Kansas,0.4738458838255083,43
Rice,0.4696629411761007,44
South Carolina,0.4609178809867695,45
UCLA,0.4543496554671139,46
Texas,0.45065208026435055,47
San Diego State,0.43998005789471434,48
Utah,0.43459705091061995,49
Auburn,0.43059932521420446,50
Miami (OH),0.42934280868774943,51
Memphis,0.4244624256574604,52
Illinois,0.417087740255401,53
UNLV,0.4165056583241499,54
Michigan State,0.40879976071554835,55
New Mexico State,0.4030010973707738,56
Texas Tech,0.40007265076230936,57
Kansas State,0.3867961748740616,58
Louisville,0.37241541260167704,59
Ball State,0.3498621116193807,60
Utah State,0.34574613115504754,61
Clemson,0.3395366935669453,62
SMU,0.33806126220467003,63
Georgia Tech,0.3372909629427998,64
Iowa,0.3345287077713921,65
Oklahoma,0.3344889050739702,66
East Carolina,0.33215745556877563,67
Central Michigan,0.3317880449129648,68
Oklahoma State,0.33125448064883245,69
Wyoming,0.32466641159121024,70
Northern Illinois,0.31835840668414755,71
Colorado State,0.31533979699366926,72
Louisiana Tech,0.2944354246435105,73
Iowa State,0.2830930780225872,74
Houston,0.2817233622777999,75
Indiana,0.2773363939497558,76
Army,0.27665115452645006,77
Wisconsin,0.27564803116369097,78
Tulsa,0.27331692852296197,79
Purdue,0.24819544303773314,80
Cincinnati,0.24797518410210886,81
Vanderbilt,0.24682966420462985,82
California,0.22300111601473882,83
Maryland,0.21403362898687367,84
Missouri,0.21337311232835002,85
Northwestern,0.21326922642091772,86
Kentucky,0.20849160198854794,87
Pacific,0.20538395652556873,88
New Mexico,0.1796558918062093,89
Arkansas,0.17630730561384741,90
Virginia Tech,0.16978772783548524,91
Pittsburgh,0.15427755318424066,92
Cal State Fullerton,0.14639501484655784,93
TCU,0.14388202515170598,94
Arkansas State,0.12554607577379984,95
Kent State,0.11461880451557693,96
Minnesota,0.08056373800399047,97
LSU,0.06540003759577218,98
Oregon State,0.06368279834295032,99
Tulane,0.05640436783008107,100
Louisiana,0.05585051199471408,101
UTEP,0.04215968482333765,102
Eastern Michigan,0.03548514534499103,103
Navy,0.021678899022702813,104
Duke,0.019391501304633074,105
Ohio,0.017355710398261726,106
Temple,0.0,107
