,4,5,6,7,8,9,10,11,12,13,14,15,16
Air Force,10,11,23,34,46,41,33,38,31,29,32,31,31
Akron,59,48,59,65,68,78,80,84,86,84,83,84,84
Alabama,26,30,32,31,34,30,38,36,34,30,29,26,26
Arizona,25,23,35,33,40,35,36,39,45,45,44,44,44
Arizona State,39,51,70,72,75,80,85,77,77,72,79,80,80
Arkansas,61,67,60,64,71,79,81,85,87,89,85,85,85
Arkansas State,92,94,89,77,84,86,84,87,90,91,90,90,90
Army,58,44,58,63,69,64,69,62,70,63,62,62,57
Auburn,9,7,6,5,5,4,5,7,9,9,8,13,13
BYU,16,16,17,19,20,20,18,17,15,15,14,15,15
Ball State,62,64,61,62,55,60,55,50,48,47,46,47,47
Baylor,75,69,64,68,58,68,57,58,54,52,55,55,55
Boston College,87,85,78,74,60,65,56,60,68,70,74,74,74
Bowling Green,73,78,88,75,82,71,61,56,62,58,58,57,58
Cal State Fullerton,97,95,98,99,99,101,101,101,102,102,101,102,102
California,17,25,27,21,21,19,30,34,30,37,38,38,38
Central Michigan,64,50,46,42,38,33,32,37,32,35,35,35,35
Cincinnati,105,106,105,101,101,102,103,102,101,103,102,101,101
Clemson,2,3,1,1,2,2,2,2,3,3,3,3,3
Colorado,11,10,9,9,8,7,6,4,4,4,4,5,5
Colorado State,13,14,15,12,25,18,20,18,17,21,21,22,22
Duke,72,83,87,78,72,81,86,78,83,85,84,83,83
East Carolina,79,62,71,76,85,75,78,70,64,65,61,61,61
Eastern Michigan,96,96,97,96,95,95,96,96,97,98,96,96,96
Florida,3,5,4,6,7,6,7,6,6,6,6,7,7
Florida State,7,8,7,7,9,9,9,8,7,7,7,6,6
Fresno State,32,31,28,36,32,31,31,26,24,28,28,29,29
Georgia,86,63,53,58,66,61,67,66,74,80,78,81,81
Georgia Tech,5,6,5,4,4,5,4,5,5,5,5,4,4
Hawai'i,54,49,54,50,53,49,47,42,46,44,49,46,46
Houston,18,17,16,17,18,16,16,15,18,17,17,16,16
Illinois,47,28,24,28,28,29,24,27,35,31,27,28,28
Indiana,66,45,36,38,35,43,45,52,51,54,52,53,53
Iowa,44,27,38,39,36,32,28,22,28,27,30,30,30
Iowa State,63,76,69,55,61,54,58,64,60,66,63,63,62
Kansas,82,82,85,89,91,92,88,82,85,86,86,86,86
Kansas State,43,56,49,53,50,55,60,54,61,67,66,65,64
Kent State,100,101,102,103,104,97,98,98,99,96,95,95,95
Kentucky,70,61,72,79,77,82,76,75,71,74,81,79,79
LSU,78,75,67,71,67,57,65,69,72,77,70,71,71
Long Beach State,91,87,73,59,65,76,64,61,58,53,54,54,54
Louisiana,69,80,82,83,83,72,74,80,73,68,67,64,63
Louisiana Tech,20,15,13,30,22,26,25,23,23,20,20,20,20
Louisville,35,40,31,14,13,10,11,10,8,8,9,8,8
Maryland,50,41,40,51,47,44,48,47,50,48,50,49,49
Memphis,80,65,66,54,62,69,59,65,69,71,71,70,70
Miami,15,21,14,13,11,13,13,13,14,13,13,11,11
Miami (OH),98,89,92,85,74,73,75,67,63,69,68,68,68
Michigan,4,2,2,3,3,3,3,3,2,2,2,2,2
Michigan State,8,12,10,11,10,14,15,16,13,14,15,14,14
Minnesota,40,43,44,44,42,37,43,41,44,50,47,48,48
Mississippi State,60,60,62,57,64,56,63,71,65,61,65,67,67
Missouri,45,58,55,61,73,66,71,76,80,73,72,72,72
NC State,23,36,34,27,33,40,40,43,41,42,41,42,42
Navy,49,47,57,69,59,58,66,72,66,60,59,59,65
Nebraska,31,33,29,22,15,17,17,24,21,22,25,25,25
New Mexico,95,98,99,94,96,96,97,97,98,99,98,98,98
New Mexico State,101,103,100,102,103,105,105,105,105,100,99,99,99
North Carolina,21,19,30,24,23,27,23,28,36,33,34,33,33
Northern Illinois,77,68,74,66,57,53,52,49,55,56,56,56,56
Northwestern,106,105,104,105,105,99,99,99,100,101,104,104,104
Notre Dame,27,18,12,15,12,12,12,12,10,12,11,12,12
Ohio,102,100,101,100,100,103,102,103,103,104,103,103,103
Ohio State,36,39,41,46,52,51,49,45,42,38,45,45,45
Oklahoma,29,32,22,23,31,34,42,40,38,36,33,34,34
Oklahoma State,56,66,68,73,79,84,72,79,81,75,73,73,73
Ole Miss,53,26,20,20,24,24,21,20,22,26,23,23,23
Oregon,28,35,37,35,41,36,34,29,33,32,31,32,32
Oregon State,99,104,106,104,102,104,104,104,104,105,105,105,105
Pacific,88,92,93,91,86,77,79,68,78,81,80,78,78
Penn State,24,22,19,26,17,15,14,14,12,11,10,10,10
Pittsburgh,83,86,90,88,78,83,83,86,89,87,89,89,89
Purdue,103,97,94,98,97,98,100,100,96,97,100,100,100
Rice,65,55,63,70,76,67,70,63,59,64,60,60,60
Rutgers,71,81,86,92,92,94,89,91,91,92,92,92,92
SMU,76,73,80,86,90,91,94,94,95,95,97,97,97
San Diego State,52,70,56,56,63,63,62,57,53,51,48,51,51
San José State,37,34,25,32,27,22,27,25,19,18,18,17,17
South Carolina,34,38,39,43,39,48,51,55,52,55,53,52,52
Southern Mississippi,38,57,48,41,44,42,44,44,40,39,40,40,40
Stanford,30,37,45,40,48,50,53,51,49,49,51,50,50
Syracuse,12,9,11,10,14,11,10,11,16,16,19,19,19
TCU,68,59,52,49,45,46,50,53,57,62,69,69,69
Temple,41,46,47,52,51,52,46,48,47,46,42,41,41
Tennessee,6,4,8,8,6,8,8,9,11,10,12,9,9
Texas,42,52,51,47,43,39,37,32,27,25,22,18,18
Texas A&M,14,13,18,16,26,21,19,19,20,19,16,21,21
Texas Tech,85,77,83,87,81,85,87,90,82,76,76,75,75
Toledo,33,29,26,18,16,28,22,21,26,23,24,24,24
Tulane,67,84,84,90,93,93,90,89,84,83,87,87,87
Tulsa,89,93,96,97,98,100,95,93,94,90,88,88,88
UCLA,48,71,65,60,54,59,54,59,56,57,57,58,59
UNLV,84,91,77,67,56,62,68,74,76,79,77,76,76
USC,46,53,42,48,37,45,39,31,25,24,26,27,27
UTEP,94,99,91,93,88,88,91,88,88,88,91,91,91
Utah,57,72,79,80,80,70,73,81,75,78,75,77,77
Utah State,74,79,76,82,87,87,82,73,67,59,64,66,66
Vanderbilt,104,102,103,106,106,106,106,106,106,106,106,107,107
Virginia,22,20,21,25,19,23,29,30,29,34,36,36,36
Virginia Tech,19,24,33,29,29,38,35,35,39,41,37,37,37
Wake Forest,90,74,75,81,89,90,93,95,93,93,93,93,93
Washington,1,1,3,2,1,1,1,1,1,1,1,1,1
Washington State,93,88,95,95,94,89,92,92,92,94,94,94,94
West Virginia,81,90,81,84,70,74,77,83,79,82,82,82,82
Western Michigan,51,42,50,45,49,47,41,46,43,40,39,39,39
Wisconsin,107,107,107,107,107,107,107,107,107,107,107,106,106
Wyoming,55,54,43,37,30,25,26,33,37,43,43,43,43
