,PCT,Rank
Florida,0.9999999999999999,1
Oklahoma,0.9360803707216055,2
Texas,0.9157645668454412,3
USC,0.9022926791411623,4
Utah,0.8754406497263167,5
Alabama,0.8602115742237708,6
Texas Tech,0.818698900350938,7
Boise State,0.8044429047699346,8
Penn State,0.8027995630655506,9
Ball State,0.7621994806324567,10
Ohio State,0.7589723423841609,11
Cincinnati,0.7480823291606146,12
Oregon,0.7365707286739998,13
Georgia,0.7160889386774241,14
TCU,0.7130339006123398,15
Virginia Tech,0.6894392696751891,16
Ole Miss,0.6853581438248577,17
Oregon State,0.682606556059054,18
Missouri,0.6721343935990625,19
Pittsburgh,0.6711539110033441,20
Florida State,0.6708072963738528,21
Iowa,0.6634655743463986,22
Georgia Tech,0.6569157106196574,23
Tulsa,0.6539804483823329,24
Michigan State,0.650431319788703,25
West Virginia,0.6448629339416273,26
Nebraska,0.6438899059827002,27
Boston College,0.6422517325600164,28
Rice,0.6372986880081072,29
BYU,0.6325911308412806,30
Oklahoma State,0.6257534769332649,31
Rutgers,0.6156873721828324,32
Northwestern,0.6015260325020204,33
California,0.601066844094053,34
Western Michigan,0.5976400202779709,35
North Carolina,0.5792758243252923,36
Kansas,0.5765212341042085,37
Maryland,0.539173871514834,38
Wake Forest,0.5333733366864142,39
LSU,0.5293628140408894,40
Clemson,0.5270990187193783,41
East Carolina,0.5270659944785363,42
Air Force,0.5256962759170765,43
Connecticut,0.524462755368501,44
Houston,0.5211804368194519,45
Central Michigan,0.5157992363026389,46
South Florida,0.5133610704313223,47
Arizona,0.49463162310343844,48
Troy,0.49458568230920524,49
Louisiana Tech,0.4929070300088881,50
Miami,0.4898688358255405,51
Navy,0.48961796831117027,52
South Carolina,0.4884586503778201,53
Buffalo,0.48764052897199306,54
Wisconsin,0.4811045892276984,55
NC State,0.48072613350615345,56
Nevada,0.4750065724214975,57
Fresno State,0.4595481699073527,58
Hawai'i,0.45794820899283284,59
Southern Mississippi,0.453030818789545,60
Colorado State,0.4505535090801062,61
Florida Atlantic,0.4460481624337296,62
Arkansas State,0.4312035076945364,63
Vanderbilt,0.4251639874698706,64
Minnesota,0.4144015864362447,65
Tennessee,0.40977610821804683,66
Bowling Green,0.40943586134063514,67
Notre Dame,0.40346657758462295,68
Kentucky,0.40256170858900236,69
Northern Illinois,0.4013915904258344,70
San José State,0.39753719312322283,71
Louisiana,0.3899426706387129,72
Memphis,0.38316144603029917,73
Arizona State,0.37487438678858903,74
Illinois,0.37276367399912924,75
Virginia,0.37165972822849813,76
UTEP,0.3661960150750715,77
Temple,0.364950666036456,78
UNLV,0.36067810491346564,79
Arkansas,0.3581304817907308,80
Louisville,0.3568187505105534,81
Middle Tennessee,0.34942555718058854,82
Stanford,0.3405847809749999,83
Akron,0.33582068348588207,84
Colorado,0.33179058425798447,85
Kansas State,0.32944186536772857,86
Florida International,0.3236656100714964,87
Auburn,0.3152804114357807,88
Baylor,0.31072057166093403,89
Wyoming,0.3100356687449307,90
New Mexico,0.30833404030803646,91
Mississippi State,0.308159991526736,92
Ohio,0.3078523901626403,93
Kent State,0.30672513482864794,94
UAB,0.3053800305585347,95
UCLA,0.29858305561496995,96
Purdue,0.29852444245064325,97
Louisiana Monroe,0.2922192813402501,98
Marshall,0.29156843225768586,99
Texas A&M,0.2912847163759421,100
UCF,0.2869639902384122,101
Utah State,0.27390120787160155,102
Syracuse,0.26033346579603345,103
Army,0.2536522295847008,104
Eastern Michigan,0.25164439411389894,105
Duke,0.24925905890044356,106
Michigan,0.23977330938498947,107
Toledo,0.2388280444520644,108
Indiana,0.23595448149210835,109
New Mexico State,0.2171036223339929,110
San Diego State,0.20961018878811707,111
Idaho,0.1923040959207395,112
Western Kentucky,0.17419668755659073,113
Tulane,0.1682062813303886,114
Miami (OH),0.16501769068250918,115
Washington State,0.12936541856707356,116
North Texas,0.1240178358640589,117
SMU,0.11810578493212037,118
Iowa State,0.09187218992045043,119
Washington,0.0,120
