Rutgers,16,15,15,14,14,12,14,12,17,14,17,17,15,15
SMU,71,60,65,59,66,65,58,61,57,60,61,61,63,63
San Diego State,98,103,107,105,97,97,98,96,99,101,97,97,96,96
San José State,54,46,46,41,46,41,39,47,50,43,40,40,37,37
South Carolina,27,31,28,29,26,29,35,42,37,36,34,34,33,33
South Florida,43,49,43,40,45,45,43,35,43,38,39,39,34,34
Southern Mississippi,41,38,44,42,49,52,46,41,36,34,38,38,36,36
Stanford,109,112,113,115,116,111,111,108,111,107,112,112,112,112
Syracuse,65,59,66,77,82,86,84,86,81,85,84,84,83,83
TCU,18,29,30,31,29,26,24,22,21,19,14,14,12,12
Temple,116,115,116,116,117,115,117,117,117,116,116,116,116,116
Tennessee,28,22,20,23,22,19,23,29,25,22,21,21,26,26
Texas,9,11,8,10,9,7,7,11,14,16,18,18,17,17
Texas A&M,15,19,17,15,15,15,20,23,27,24,24,24,29,29
Texas Tech,31,25,31,35,32,39,38,45,38,39,41,41,38,38
Toledo,68,78,90,93,94,90,85,79,82,76,76,76,75,75
Troy,90,87,85,73,71,66,57,53,55,52,49,49,43,43
Tulane,87,95,88,90,93,85,88,89,86,88,89,89,88,88
Tulsa,52,50,42,38,34,32,36,39,45,42,42,42,46,46
UAB,114,108,103,101,104,102,103,104,105,106,106,106,106,106
UCF,96,101,91,96,100,98,99,94,96,92,92,92,92,92
UCLA,61,53,49,54,65,72,75,70,65,64,58,58,62,62
UNLV,101,106,111,111,110,110,110,113,113,112,111,111,111,111
USC,12,9,6,6,7,11,11,8,7,7,10,10,10,10
UTEP,97,86,76,71,76,80,83,77,79,84,82,82,81,81
Utah,38,42,39,46,50,46,49,50,42,48,47,47,39,39
Utah State,111,114,106,108,109,105,108,109,112,114,114,114,113,113
Vanderbilt,102,93,98,94,96,89,92,95,95,95,95,95,95,95
Virginia,78,70,75,83,77,70,74,75,70,72,72,72,72,72
Virginia Tech,10,12,12,21,18,18,18,17,13,12,12,12,16,16
Wake Forest,8,6,10,9,11,10,9,7,11,10,9,9,11,11
Washington,57,47,53,61,72,75,80,83,78,77,77,77,76,76
Washington State,51,56,51,56,51,47,55,58,67,66,66,66,65,65
West Virginia,17,16,14,12,13,13,17,16,15,18,15,15,13,13
Western Michigan,56,54,63,52,48,43,40,48,49,44,44,44,47,47
Wisconsin,3,5,3,4,4,4,3,3,3,3,3,3,2,2
Wyoming,79,88,78,74,64,71,64,67,63,59,60,60,59,59
