,PCT,Rank
Iowa,1.0,1
Alabama,0.9893065132758505,2
Florida,0.9400622015834308,3
Texas,0.8766845700403051,4
Cincinnati,0.8764328338279121,5
Georgia Tech,0.8426051547714888,6
TCU,0.8311615153954752,7
Pittsburgh,0.7926193504225636,8
Boise State,0.7803213273128214,9
Virginia Tech,0.7802469654365064,10
Oregon,0.7767269625325559,11
Penn State,0.7622630590266837,12
Oklahoma State,0.7574483608884532,13
USC,0.7571107766382363,14
Miami,0.7306307406499921,15
Houston,0.7276552803284575,16
LSU,0.7203032035500794,17
West Virginia,0.6998626586963594,18
Texas Tech,0.6956051042116357,19
Central Michigan,0.6864834844295098,20
Idaho,0.6786403288723984,21
BYU,0.6727862757223252,22
Utah,0.6474140450086404,23
South Florida,0.6457381025535318,24
Kansas,0.6449086616806872,25
Boston College,0.6417727062355855,26
South Carolina,0.6413931184150652,27
Ohio State,0.6370956864666829,28
Wisconsin,0.6223866584215213,29
Oregon State,0.6106395043578703,30
California,0.5970809592889469,31
Michigan,0.5903360674546224,32
Virginia,0.5854241388295782,33
Arizona,0.5814368332419366,34
Navy,0.5804530940685513,35
Nebraska,0.5732464222421868,36
Notre Dame,0.5719004411671288,37
Auburn,0.5642832751895022,38
Michigan State,0.5632450091591118,39
Connecticut,0.5586765763978826,40
Troy,0.5466034020299132,41
Georgia,0.5401047755725903,42
Kansas State,0.5400618385896133,43
Arkansas,0.5394756554307115,44
Ole Miss,0.5388121027324358,45
Arizona State,0.5368610109637095,46
Temple,0.531967128317018,47
Ohio,0.5261231871375732,48
Rutgers,0.518297870133776,49
Louisiana,0.5103508464886182,50
Louisiana Monroe,0.5082647210198051,51
North Carolina,0.5004530940685513,52
Clemson,0.4985103511576261,53
Oklahoma,0.4939631276065872,54
Iowa State,0.4919409927621625,55
Kentucky,0.4877838838523496,56
Minnesota,0.4875100828014825,57
Tulsa,0.4855015602252117,58
Missouri,0.4818307852463755,59
Wake Forest,0.47985858797997827,60
Air Force,0.4701691421548609,61
Tennessee,0.4652092983459149,62
Stanford,0.4618225660292235,63
Toledo,0.44954196662271845,64
Marshall,0.44932385919469814,65
East Carolina,0.44649437424403293,66
Duke,0.43996725277204113,67
Louisiana Tech,0.4340372042734743,68
Fresno State,0.42772764573877664,69
Colorado,0.42425270592444797,70
Nevada,0.41935047441995527,71
Wyoming,0.4181559654792879,72
Indiana,0.41640519444152746,73
Southern Mississippi,0.4149251130790561,74
Washington,0.4148345720497353,75
Northern Illinois,0.4135654419514547,76
UCF,0.39283994695104635,77
UCLA,0.3846863798237664,78
SMU,0.3794861303951576,79
Mississippi State,0.3709545311351464,80
Colorado State,0.3702997421447489,81
Northwestern,0.3686645587097125,82
Western Michigan,0.3572243418468347,83
Bowling Green,0.3553419596221234,84
Buffalo,0.3522441185278526,85
Baylor,0.348179184119539,86
Middle Tennessee,0.34725445736961713,87
Texas A&M,0.34487321792722747,88
NC State,0.33406077294347797,89
UTEP,0.33298517040615117,90
New Mexico State,0.3162175007097825,91
Syracuse,0.3129270395391015,92
Tulane,0.30757197324735563,93
San Diego State,0.3059337821492604,94
Army,0.30410071522746096,95
Florida State,0.29454049520135134,96
UAB,0.2764162138966997,97
Louisville,0.2719368701895216,98
Kent State,0.27133917494098103,99
Purdue,0.25967027197311765,100
Hawai'i,0.2575514252044757,101
Memphis,0.2347658884338502,102
UNLV,0.2327428720330117,103
Arkansas State,0.22567171098432254,104
Florida Atlantic,0.22113152951334195,105
Maryland,0.1948598519763069,106
San José State,0.1791084612562438,107
Washington State,0.1699719068713433,108
Florida International,0.1616920178955952,109
Akron,0.15571695816366615,110
Vanderbilt,0.15290808607620535,111
Utah State,0.14020187641875487,112
North Texas,0.13669844158975736,113
Illinois,0.10894937921575187,114
New Mexico,0.05661256762380362,115
Western Kentucky,0.05642417383255355,116
Eastern Michigan,0.05556714542958374,117
Miami (OH),0.018040844582900672,118
Rice,0.005165972440990818,119
Ball State,0.0,120
