,PCT,Rank
Alabama,1.0,1
Florida,0.9317734224412076,2
Texas,0.9066679765851964,3
Cincinnati,0.8681582643696064,4
Ohio State,0.8110354846767713,5
Boise State,0.7854808817132032,6
TCU,0.7699176319226175,7
Iowa,0.7694232293985852,8
Penn State,0.7691136655618909,9
Georgia Tech,0.7612731059604356,10
Pittsburgh,0.7585433537348807,11
Oregon,0.7276196132266417,12
BYU,0.683242777783204,13
Wisconsin,0.6779480313346441,14
Virginia Tech,0.6681074033991923,15
Nebraska,0.6612622582597663,16
Oklahoma State,0.6449862780304328,17
Utah,0.6433184566746672,18
Central Michigan,0.6370352494183532,19
USC,0.6296844320921025,20
Ole Miss,0.6276769847758025,21
LSU,0.6239102338586912,22
Oklahoma,0.6226376003795566,23
Navy,0.6123108454571405,24
West Virginia,0.6122311148113222,25
Clemson,0.6080458135751634,26
Miami,0.6047432362929384,27
Texas Tech,0.5970346308873631,28
Rutgers,0.5900077834723183,29
Stanford,0.5813150210278505,30
Houston,0.5811941146510071,31
Oregon State,0.5692223362611324,32
Georgia,0.5661575418260238,33
North Carolina,0.5561042192772958,34
California,0.5541917027289756,35
Temple,0.5497579517859408,36
Arkansas,0.5483108573173666,37
Middle Tennessee,0.5464120063444009,38
Arizona,0.534469867810252,39
Nevada,0.5318421683022151,40
Troy,0.5314008430442148,41
Auburn,0.5293633657331702,42
Air Force,0.5199141344410614,43
Northwestern,0.5145251212258319,44
Boston College,0.5130123548857265,45
Missouri,0.5076024577583174,46
South Florida,0.5067806597494988,47
Ohio,0.5025605565829114,48
Connecticut,0.4997925386044242,49
Florida State,0.4892173538645721,50
Fresno State,0.46897508114463204,51
SMU,0.4682496490033995,52
UCF,0.46816669167840264,53
East Carolina,0.4663630881745026,54
Idaho,0.4597310262574147,55
Northern Illinois,0.453276912101624,56
Tennessee,0.4456749110354521,57
Iowa State,0.4405769231687205,58
South Carolina,0.4306662752241246,59
Kentucky,0.42904132479166945,60
Kansas State,0.4226108148114911,61
Southern Mississippi,0.4158951591073208,62
UCLA,0.4151110806568083,63
Notre Dame,0.4121356300969342,64
Michigan State,0.40940990114813597,65
Wyoming,0.40398355392374835,66
Louisiana Monroe,0.39553408013142516,67
Marshall,0.39461432407983554,68
Mississippi State,0.39276937501969056,69
Texas A&M,0.38686902724701533,70
Bowling Green,0.38670034949479476,71
Minnesota,0.36713617204847987,72
Louisiana,0.3617694118018952,73
UAB,0.3561437267432776,74
Hawai'i,0.3322002357516763,75
Duke,0.3301369560993912,76
Purdue,0.3254751448030802,77
Kent State,0.3226934077007457,78
NC State,0.31728656283742435,79
Washington,0.3085268754866946,80
Kansas,0.2989690746254977,81
UNLV,0.29863910881305866,82
Wake Forest,0.29263853432646875,83
Western Michigan,0.2908886713249327,84
Toledo,0.2901896867842785,85
Florida Atlantic,0.2865950085938293,86
Army,0.28637043692485703,87
Louisville,0.2830662771571742,88
Tulsa,0.28163803800537873,89
San Diego State,0.28157110506684285,90
Michigan,0.2701912524810087,91
Baylor,0.26855141289013934,92
Syracuse,0.26184793232827486,93
Buffalo,0.2553610643444074,94
Utah State,0.25273205825314704,95
Louisiana Tech,0.23978434596042286,96
UTEP,0.23282533913086645,97
Arizona State,0.22915053633068785,98
Virginia,0.22767369567438087,99
Florida International,0.2248251068487245,100
Colorado,0.2224652479767666,101
Illinois,0.22187485977944676,102
Tulane,0.22042488975681102,103
Indiana,0.2077199529431757,104
New Mexico State,0.20098144274229185,105
Colorado State,0.1915621745093116,106
Arkansas State,0.18027306252189826,107
Akron,0.1559926952848661,108
Memphis,0.14284971841326183,109
San José State,0.13114031769323223,110
Rice,0.1275777311144992,111
Ball State,0.12496734651159902,112
North Texas,0.11774405377340863,113
Miami (OH),0.08309729540210242,114
Vanderbilt,0.08243485770776271,115
Maryland,0.07576034777296081,116
New Mexico,0.05719226421705137,117
Washington State,0.04113831363324061,118
Eastern Michigan,0.0006910486540258609,119
Western Kentucky,0.0,120
