school,points,rank
Alabama,1598,1
Clemson,1538,2
Notre Dame,1460,3
Oklahoma,1375,4
Ohio State,1326,5
Georgia,1316,6
UCF,1218,7
Michigan,1122,8
Washington,1046,9
Florida,976,10
LSU,899,11
Penn State,889,12
Washington State,856,13
Texas,776,14
Kentucky,696,15
West Virginia,683,16
Syracuse,505,17
Mississippi State,501,18
Utah,411,19
Texas A&M,388,20
Fresno State,357,21
Northwestern,159,22
Utah State,125,23
Boise State,122,24
Army,114,25
