school,points,rank
Alabama,0,1
Clemson,0,2
Notre Dame,0,3
Oklahoma,0,4
Georgia,0,5
Ohio State,0,6
Michigan,0,7
UCF,0,8
Washington,0,9
Florida,0,10
LSU,0,11
Penn State,0,12
Washington State,0,13
Kentucky,0,14
Texas,0,15
West Virginia,0,16
Utah,0,17
Mississippi State,0,18
Texas A&M,0,19
Syracuse,0,20
Fresno State,0,21
Northwestern,0,22
Missouri,0,23
Iowa State,0,24
Boise State,0,25
