school,points,rank
Alabama,1525,1
Clemson,1460,2
Notre Dame,1405,3
Oklahoma,1327,4
Ohio State,1254,5
Georgia,1247,6
UCF,1158,7
Michigan,1076,8
Washington,992,9
Florida,894,10
LSU,847,11
Washington State,845,12
Penn State,773,13
Texas,763,14
West Virginia,694,15
Kentucky,639,16
Syracuse,516,17
Mississippi State,375,18
Fresno State,373,19
Utah,362,20
Texas A&M,359,21
Army,209,22
Boise State,144,23
Missouri,133,24
Iowa State,110,25
