,4,5,6,7,8,9,10,11,12,13,14,15,16
Air Force,3,24,20,14,26,21,37,33,30,30,29,29,20
Akron,95,85,87,76,71,57,61,72,76,65,63,63,63
Alabama,28,12,14,13,7,11,6,8,8,8,7,7,4
Arizona,73,54,61,74,76,78,69,81,66,75,74,74,71
Arizona State,20,34,25,22,48,59,67,53,59,47,46,46,44
Arkansas,52,69,31,29,18,22,36,48,54,43,43,43,51
Arkansas State,107,106,104,104,105,105,105,101,103,102,102,102,100
Army,58,60,68,72,68,83,91,86,81,78,77,84,83
Auburn,7,23,38,37,35,52,62,49,58,57,62,62,62
BYU,98,75,62,55,42,35,31,26,33,31,30,30,21
Ball State,66,50,65,60,60,66,52,44,50,52,51,51,48
Baylor,11,15,9,27,39,25,18,18,32,27,28,28,34
Boston College,97,103,100,84,92,82,66,56,62,64,64,64,64
Bowling Green,57,48,28,21,16,15,15,13,13,14,14,14,15
Cal State Fullerton,78,89,92,89,95,92,95,98,96,91,90,91,90
California,4,10,5,3,9,12,10,12,12,16,16,16,11
Central Michigan,42,58,64,54,45,32,40,45,38,36,37,37,37
Cincinnati,92,97,82,75,84,75,84,79,77,80,78,77,76
Clemson,35,7,29,17,20,7,9,9,9,7,6,6,12
Colorado,12,62,66,52,43,33,32,31,28,26,27,27,32
Colorado State,79,68,53,57,69,77,80,83,90,87,87,87,87
Duke,25,55,42,46,41,29,46,66,72,77,79,78,79
East Carolina,44,27,23,11,11,8,12,10,11,10,11,11,5
Eastern Michigan,103,102,94,98,88,88,78,71,75,69,68,68,68
Florida,19,6,8,2,4,6,4,3,2,4,4,4,9
Florida State,16,4,1,1,1,1,2,2,7,9,13,13,10
Fresno State,24,22,19,18,15,16,22,22,20,19,21,21,26
Georgia,51,37,16,7,24,19,19,29,24,25,19,20,17
Georgia Tech,39,49,60,51,62,40,26,32,27,29,35,35,28
Hawai'i,36,53,67,67,74,72,58,69,70,72,80,79,78
Houston,70,72,77,86,77,84,81,65,51,63,71,71,75
Illinois,29,31,24,9,21,44,35,28,31,46,45,45,55
Indiana,38,52,51,45,55,34,27,36,45,38,39,39,31
Iowa,17,16,43,20,12,13,7,6,6,6,8,8,13
Iowa State,69,38,63,68,75,70,63,68,67,70,69,69,69
Kansas,10,18,46,59,49,54,42,52,57,51,50,50,49
Kansas State,15,33,41,34,44,53,60,50,43,39,40,40,40
Kent State,96,99,106,106,106,107,101,103,104,103,103,103,103
Kentucky,76,66,72,81,91,96,86,89,93,94,94,94,95
LSU,75,74,81,71,59,61,39,51,64,59,59,59,59
Long Beach State,94,100,91,91,93,87,90,88,89,92,92,92,92
Louisiana,105,107,105,105,103,94,88,90,84,83,83,82,81
Louisiana Tech,54,42,30,50,50,62,50,43,36,34,32,32,33
Louisville,72,51,71,85,90,95,96,99,99,96,97,97,97
Maryland,71,67,78,88,81,89,93,94,94,98,98,98,98
Memphis,67,63,69,58,37,51,64,55,60,60,57,57,56
Miami,6,8,12,8,8,5,11,7,5,5,5,5,2
Miami (OH),60,44,35,53,38,47,51,60,55,54,52,52,50
Michigan,8,26,10,10,5,4,3,5,3,1,1,1,6
Michigan State,91,96,102,102,89,93,99,92,98,85,85,85,85
Minnesota,62,73,80,65,83,90,94,97,100,100,100,100,102
Mississippi State,40,59,50,39,56,36,41,42,35,33,31,31,35
Missouri,27,20,13,26,29,42,47,57,63,67,66,66,66
NC State,5,2,3,4,6,17,16,21,17,18,18,18,24
Navy,104,101,98,97,104,103,103,105,105,107,107,105,105
Nebraska,47,17,21,19,19,20,28,25,26,28,24,24,27
New Mexico,99,90,93,94,98,99,92,93,87,84,84,83,84
