,PCT,Rank
Oklahoma State,1.0,1
LSU,0.9745678370390835,2
Alabama,0.9379492301395046,3
Oregon,0.8482949149489297,4
Arkansas,0.83630289090621,5
Michigan,0.8244652778215795,6
Stanford,0.8238950658388056,7
South Carolina,0.8059633622474089,8
Oklahoma,0.7894781056273337,9
USC,0.7786386099574985,10
Kansas State,0.7781680079394085,11
Clemson,0.77557124399847,12
Wisconsin,0.7745095899972636,13
Boise State,0.7633540176882929,14
Houston,0.7624999759468636,15
Virginia Tech,0.754332500141494,16
Baylor,0.7381366006880418,17
Michigan State,0.7245132211544344,18
West Virginia,0.7237877136522649,19
Cincinnati,0.7046358611568323,20
Penn State,0.6828745880124081,21
Nebraska,0.6661906659640828,22
Georgia,0.664523848806473,23
Southern Mississippi,0.6336593352124165,24
Rutgers,0.57025873799997,25
Texas,0.5659479230879532,26
TCU,0.5656771417087754,27
BYU,0.559470487475102,28
Florida State,0.5568050006019801,29
Northern Illinois,0.5396579028898209,30
Missouri,0.5393825754816379,31
Auburn,0.5309204571458161,32
NC State,0.5220083919585415,33
Arkansas State,0.5134596174202594,34
Texas A&M,0.5122515751239616,35
Georgia Tech,0.5015938788067107,36
SMU,0.49350025726926505,37
Toledo,0.49196813987524807,38
Iowa,0.4769302852006415,39
Louisiana,0.46859410022978903,40
Temple,0.46624338515785485,41
Notre Dame,0.46562912114183597,42
Virginia,0.46057558278818356,43
Tulsa,0.4520577062844083,44
Washington,0.4431408970320149,45
California,0.4383323865611817,46
North Carolina,0.43715468779827293,47
Purdue,0.4371079248706743,48
Ohio,0.4343245140931734,49
Illinois,0.4333338670406591,50
San Diego State,0.42669608818791926,51
Wyoming,0.42219261494309496,52
Florida,0.4221591908479405,53
Mississippi State,0.41277216464767796,54
Louisville,0.4080877392047546,55
Miami,0.40627598381648433,56
Utah,0.40227379498493315,57
Vanderbilt,0.398113434709538,58
Ball State,0.39235283811808874,59
Wake Forest,0.39024567996073073,60
Iowa State,0.3896073875629419,61
Texas Tech,0.3780537817360018,62
Western Kentucky,0.37221995762425436,63
Louisiana Tech,0.36801745526390867,64
Ohio State,0.3675485013463633,65
Nevada,0.3642501438641597,66
Eastern Michigan,0.3637175147349237,67
Pittsburgh,0.36188652123842857,68
Syracuse,0.3484101340100587,69
Arizona State,0.3445595935328133,70
Florida International,0.34312272710858227,71
Connecticut,0.3409073719206194,72
UTEP,0.3380319755688039,73
Marshall,0.33184925730004755,74
UCLA,0.33106408811808735,75
Western Michigan,0.3286518806325135,76
Hawai'i,0.31368826749645284,77
Tennessee,0.30946516644643596,78
Air Force,0.29556837238680844,79
Bowling Green,0.2947467146842043,80
East Carolina,0.28617191966754385,81
South Florida,0.279672642871776,82
UCF,0.279287588053911,83
Utah State,0.2753941430526781,84
North Texas,0.27531008992490946,85
Kentucky,0.2741028639774794,86
San José State,0.2698986981137804,87
Northwestern,0.25129897470355883,88
Oregon State,0.2512030152045669,89
New Mexico State,0.22947664482494456,90
Arizona,0.2279875936844078,91
Washington State,0.21745862377479347,92
Navy,0.21722768432778136,93
Minnesota,0.20858327374949265,94
Rice,0.2006208687404438,95
Fresno State,0.19475532511105206,96
Boston College,0.19296782914668423,97
Kent State,0.19195363119947356,98
Louisiana Monroe,0.19168494716943102,99
Colorado State,0.19013454920847128,100
Duke,0.18918115641623978,101
Troy,0.17953930101247456,102
Miami (OH),0.17407901811899398,103
Middle Tennessee,0.15500765813535627,104
Army,0.14342180652813696,105
UNLV,0.1430632163029715,106
Buffalo,0.1293945378420712,107
Central Michigan,0.1257299092673671,108
Ole Miss,0.12386100175694442,109
UAB,0.1237150293376914,110
Colorado,0.11180072566791135,111
Kansas,0.1050256538786925,112
Memphis,0.10452065738849203,113
Tulane,0.09914171159415697,114
Idaho,0.08274663841976357,115
Maryland,0.06989696067694479,116
New Mexico,0.06065320883725572,117
Akron,0.05923136271876578,118
Florida Atlantic,0.0019605490886733246,119
Indiana,0.0,120
