,4,5,6,7,8,9,10,11,12,13,14,15
Air Force,0.011828434065934064,0.023172664835164836,0.010927335164835164,0.0008060635792778635,-0.01089370094191523,0.0013109693877551016,0.009592628205128207,0.0006608516483516468,0.010063274225774226,0.018976535964035965,0.018921403596403596,0.018939010989010987
Akron,-0.05555580357142857,-0.06469330357142856,-0.07409806547619047,-0.0747921981292517,-0.0861672512755102,-0.09325480087868482,-0.10286135912698413,-0.11306120580808081,-0.1224677353896104,-0.13269419642857144,-0.1330360576923077,-0.1330360576923077
Alabama,0.16948461538461537,0.1811923076923077,0.18339038461538462,0.18675051020408162,0.19370518053375196,0.19303063186813185,0.18537884615384617,0.1910997252747253,0.20189483016983018,0.20915606893106892,0.20942005494505495,0.20942005494505495
Arizona,-0.017701190476190478,-0.03085357142857142,-0.03706517857142856,-0.03735616496598639,-0.03241823979591836,-0.039116617063492065,-0.04988621031746032,-0.06320170454545454,-0.05383173701298701,-0.04613021978021978,-0.04690414377289377,-0.04690414377289377
Arizona State,0.005981043956043954,0.011559890109890107,0.016704945054945054,0.0034156985871271577,0.0047100470957613765,0.011714560439560442,0.002938461538461532,-0.004928454878454877,-0.014035889110889111,-0.022274748328594482,-0.022742275993237533,-0.022742275993237533
Arkansas,0.14774478021978021,0.15471758241758243,0.1599791208791209,0.1538744897959184,0.16133072998430142,0.1658160125588697,0.1711371794871795,0.17873269230769231,0.190381018981019,0.18008806193806196,0.18046936813186815,0.18046936813186815
Arkansas State,0.0217293956043956,0.03414835164835166,0.04621277472527473,0.04682333202511774,0.058504856750392464,0.06730489599686029,0.07642774725274726,0.08625161088911089,0.0974869005994006,0.09764473026973028,0.10776923076923077,0.10776923076923077
Army,-0.03553125,-0.029615625,-0.043514285714285714,-0.04517793367346939,-0.05935251913265306,-0.051287964143990936,-0.0589203125,-0.06654066558441558,-0.07666956168831168,-0.07735882867132868,-0.07724553571428572,-0.08649553571428571
Auburn,0.06605947802197802,0.07840013736263737,0.06858255494505495,0.07826081240188382,0.06406614992150707,0.07459408032443747,0.07420096153846154,0.06468255494505495,0.07600927822177822,0.06311142607392607,0.06246617709213863,0.06246617709213863
BYU,0.024016895604395606,0.03859436813186813,0.05097239010989012,0.06109990188383045,0.07315936028257457,0.0638338598901099,0.06424652014652016,0.07413722527472527,0.0845996128871129,0.08434481768231769,0.0932245245139476,0.0932245245139476
Ball State,0.016926339285714288,0.01021964285714286,0.0007306547619047602,0.010593537414965985,0.019932238520408162,0.011604662698412697,0.019775198412698414,0.02076504329004329,0.010923620129870132,0.001470035173160174,0.0007986284548784554,0.0006596268315018318
Baylor,0.18207252747252747,0.16418667582417584,0.15717802197802203,0.139328021978022,0.1300646781789639,0.1202230376766091,0.12503223443223443,0.12868305860805862,0.1323988011988012,0.14319328171828175,0.1492868131868132,0.1492868131868132
Boise State,0.10392032967032967,0.11388365384615384,0.12084505494505496,0.12833163265306122,0.1380964481946625,0.14163147566718998,0.14781169871794872,0.13775915750915751,0.14566778221778223,0.15251454795204794,0.1627556001690617,0.1627556001690617
Boston College,-0.020211309523809524,-0.024241071428571428,-0.03566636904761905,-0.03511607142857143,-0.043572066326530615,-0.03770610119047619,-0.04475545634920636,-0.03725446428571429,-0.045950081168831175,-0.038749255952380955,-0.03951367902930403,-0.03951367902930403
Bowling Green,0.007890625000000002,-0.003021874999999997,-0.01000580357142857,-0.02007791241496599,-0.011155399659863948,-0.019632582199546483,-0.019521577380952386,-0.02805788690476191,-0.035296712662337665,-0.025001488095238094,-0.02534838598901099,-0.02534838598901099
Buffalo,-0.03857053571428572,-0.052022321428571425,-0.04550386904761905,-0.054530782312925165,-0.0638202168367347,-0.07511505456349207,-0.07413085317460318,-0.08416547619047618,-0.07507053571428572,-0.08478732413419912,-0.0852123054029304,-0.0852123054029304
California,0.05754752747252748,0.056638736263736264,0.043104395604395614,0.02633265306122449,0.03457676609105181,0.026028492935635795,0.034702014652014654,0.040120029970029975,0.02864975024975025,0.03649890302005687,0.03462952240067625,0.03462952240067625
Central Michigan,-0.04711160714285714,-0.03814196428571429,-0.04909970238095239,-0.058137117346938785,-0.0649874043367347,-0.056132316468253965,-0.06454454365079365,-0.07352410714285715,-0.08257426948051948,-0.08219270833333332,-0.08301425137362636,-0.08301425137362636
Cincinnati,0.10842252747252748,0.10910357142857144,0.10406978021978022,0.11033697017268446,0.11939466248037676,0.11424062009419152,0.12164230769230769,0.11305054945054946,0.10113676323676324,0.11153966033966034,0.1201629120879121,0.1201629120879121
Clemson,0.11619336734693878,0.11878035714285716,0.13054311224489795,0.13533822886297375,0.14198764577259473,0.1334033102526725,0.12800178571428572,0.13694073129251702,0.12787446660482374,0.11890289888682748,0.12632817896389326,0.12632817896389326
Colorado,-0.019949175824175828,-0.035271428571428565,-0.049357692307692304,-0.05875,-0.06942386185243328,-0.07917307692307693,-0.08892994505494506,-0.0804978021978022,-0.08998841158841159,-0.08045754245754246,-0.08097464074387152,-0.08097464074387152
Colorado State,-0.009180357142857136,-0.020171875,-0.025406696428571428,-0.03428951955782313,-0.04447446853741496,-0.05364946145124716,-0.05406532738095238,-0.06287785443722943,-0.07248813582251082,-0.08204203192640694,-0.09106875,-0.09106875
Connecticut,0.029276190476190487,0.013077678571428575,0.0018988095238095248,0.006962840136054421,0.003546811224489797,-0.008025573979591834,0.0007345238095238134,-0.0011724206349206356,-0.01140275974025974,-0.004148322510822503,-0.014533333333333325,-0.014533333333333325
