Team,Conf,PCT,W,L
UTSA Roadrunners,Conference USA,0.20690010089278682,3,4
South Alabama Jaguars,Sun Belt,0.20517640989410077,2,5
Tulsa Golden Hurricane,American Athletic,0.19055775667302863,1,5
New Mexico State Aggies,FBS Independents,0.1846817683938733,2,5
California Golden Bears,Pac-12,0.1820934363778219,3,3
Old Dominion Monarchs,Conference USA,0.16970350989994587,1,6
UConn Huskies,American Athletic,0.15984899119920098,1,5
Western Kentucky Hilltoppers,Conference USA,0.1444723713871106,1,5
North Carolina Tar Heels,ACC,0.13341126898728548,1,4
Arkansas Razorbacks,SEC,0.11557497452266531,1,6
San Jose State Spartans,Mountain West,0.11185439417312389,0,6
Louisville Cardinals,ACC,0.09852326760477477,2,5
Rice Owls,Conference USA,0.08959933873291878,1,6
Central Michigan Chippewas,Mid-American,0.08162849090313022,1,6
Texas State Bobcats,Sun Belt,0.07494783817508588,1,5
Oregon State Beavers,Pac-12,0.0676261223369515,1,5
Bowling Green Falcons,Mid-American,0.046105716326079405,1,6
Kent State Golden Flashes,Mid-American,0.04481342458581863,1,6
UTEP Miners,Conference USA,0.041305049467962124,0,6
Rutgers Scarlet Knights,Big Ten,0.012471822449026303,1,6
Nebraska Cornhuskers,Big Ten,0.0,0,6
