,PCT,Rank
Florida State,1.0,1
Michigan State,0.9061859540466655,2
Oregon,0.8496046246829474,3
Missouri,0.8212660453962419,4
Baylor,0.8152484900820205,5
Auburn,0.8056313082523912,6
Oklahoma,0.7900984069864612,7
Ohio State,0.7719842216618633,8
Stanford,0.7557043144861746,9
Clemson,0.7452588816622616,10
Alabama,0.727928052383683,11
UCLA,0.7245901403203638,12
Arizona State,0.7219718736298,13
South Carolina,0.7145754900721981,14
Oklahoma State,0.7007350491918636,15
Louisville,0.6810754281122795,16
UCF,0.6502874911146053,17
LSU,0.6437525462093703,18
Miami,0.6240882977101052,19
Fresno State,0.6073663454557419,20
Nebraska,0.6019015341982459,21
Duke,0.5990428987631347,22
USC,0.5935948670027539,23
Texas Tech,0.593161252478807,24
Northern Illinois,0.5874678205731145,25
Texas,0.5832333235031837,26
Washington,0.5827905765583845,27
Texas A&M,0.577797133693345,28
Wisconsin,0.5713792453674511,29
Virginia Tech,0.5560234102345047,30
Vanderbilt,0.5459845945724486,31
Notre Dame,0.5335759687472753,32
Ball State,0.5191325922210814,33
Arizona,0.518196368100905,34
East Carolina,0.5153036023851826,35
Iowa,0.5137063999228995,36
Oregon State,0.5043271343869988,37
Kansas State,0.5028555006711246,38
Marshall,0.49187926526811016,39
Penn State,0.4846328171812462,40
Syracuse,0.4721688527486929,41
Rice,0.47064069432609645,42
Georgia,0.4686552129947671,43
Minnesota,0.4684306974472754,44
Michigan,0.4674564256541651,45
Bowling Green,0.46676076206753514,46
Ole Miss,0.4662774048223246,47
Boise State,0.44681990486412115,48
Houston,0.44474173639819115,49
BYU,0.44253028681971707,50
Mississippi State,0.43435300782814856,51
Maryland,0.4304897979380646,52
Pittsburgh,0.4292994656358924,53
Louisiana,0.42361825109750617,54
Utah State,0.4170233619285007,55
North Texas,0.41216218818298855,56
Navy,0.4089543008998453,57
Buffalo,0.4087268146631756,58
Cincinnati,0.40363882390218214,59
San Diego State,0.40218844203965826,60
Western Kentucky,0.4018579671507645,61
Arkansas State,0.38794455871749517,62
Toledo,0.3856046768196306,63
Tulane,0.3854449522887544,64
Georgia Tech,0.3815017051767784,65
Ohio,0.3800376124411252,66
Boston College,0.37219370761683096,67
Utah,0.3531882998964658,68
Washington State,0.35292584617259665,69
UNLV,0.3484331929486034,70
Tennessee,0.3472650551223092,71
Colorado State,0.3439664761262797,72
Rutgers,0.3437638979757948,73
San José State,0.34369243004960853,74
Indiana,0.3415785371420251,75
North Carolina,0.33751505328985715,76
Troy,0.33708778344524665,77
South Alabama,0.3332372751556866,78
Northwestern,0.32630251071641864,79
Wake Forest,0.32090445903319054,80
Texas State,0.3197561638871751,81
Louisiana Monroe,0.3191389413210863,82
Wyoming,0.30845089677348014,83
Florida,0.30767765113618806,84
UT San Antonio,0.2969576716799184,85
Middle Tennessee,0.2936297476068163,86
Central Michigan,0.26648254730054427,87
Nevada,0.26043372901925904,88
Florida Atlantic,0.2472481394346014,89
Colorado,0.238276724767098,90
SMU,0.23628252111692521,91
Illinois,0.22146986031372998,92
Akron,0.22052821373365966,93
TCU,0.21444362340352258,94
Tulsa,0.18816793951340863,95
South Florida,0.1877713525081447,96
Kent State,0.1844618190957713,97
West Virginia,0.18289013885253197,98
Iowa State,0.17725362747341095,99
NC State,0.16639575852779542,100
New Mexico,0.16408864704492576,101
Kansas,0.16018794648612894,102
UAB,0.1535012345932246,103
Louisiana Tech,0.14381722109842693,104
Arkansas,0.14247255101987363,105
Army,0.13432549783854733,106
Connecticut,0.12939471080727663,107
Virginia,0.1253327575265361,108
Memphis,0.12390264918943622,109
UTEP,0.11490022319291751,110
Eastern Michigan,0.11453027955621883,111
Temple,0.09529611924770745,112
Florida International,0.09145851488926432,113
Air Force,0.09005350268678283,114
Idaho,0.08959898724254775,115
Kentucky,0.0804440658682247,116
UMass,0.06006687100911723,117
Hawai'i,0.05826666431192401,118
Southern Mississippi,0.05526858909305721,119
California,0.050386942211939345,120
New Mexico State,0.03475226695744643,121
Purdue,0.03409710621498013,122
Georgia State,0.013547858940979762,123
Western Michigan,0.00029171548834450167,124
Miami (OH),0.0,125
