,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Air Force,0.24258867972851836,0.15462990112478778,0.12472720240890633,0.10779495641272124,0.1502424475327938,0.12272159004543631,0.16728025660232612,0.13606831075971668,0.16267470921141808,0.14651850697248076,0.12660731617412851,0.11772443501417595,0.11743663914777908,0.1159446770728168,0.1159446770728168,0.1159446770728168
Akron,0.26499551799206045,0.18077987150411193,0.16112323544849308,0.1519999504572725,0.2394751157175059,0.21770452118301997,0.23413290531910796,0.24972501890482654,0.2972564833202671,0.3139171499408756,0.3661306203729371,0.33854975955153344,0.33854975955153344,0.32036709966795573,0.32036709966795573,0.32036709966795573
Alabama,0.9718273786656422,0.9999999999999999,0.8724999309373188,0.9014934517588014,0.8986010656908349,0.9480357365485279,0.8495237163245494,0.9114984895934372,0.9026669700724197,0.920434082373741,0.8514223651834889,0.7908460230852763,0.7908460230852763,0.7073372137720593,0.7073372137720593,0.7073372137720593
Arizona,0.8002945319503137,0.5793315501088085,0.5202275960661897,0.4343026689080164,0.5360062404285706,0.619211618441185,0.5857009237768838,0.5187979301689358,0.440507242460489,0.5598960012627966,0.5144082942688639,0.4752184252662681,0.4752184252662681,0.5158849811642467,0.5158849811642467,0.5147126479005403
Arizona State,0.7119989755410424,0.7340995813212217,0.546411848393602,0.6794982973127888,0.7462228773652544,0.7315141316820184,0.7224296412277598,0.75632905879698,0.7877639874710234,0.8587825881237778,0.8934625245807399,0.7773087500658784,0.7773087500658784,0.6795233343147603,0.6795233343147603,0.6784628319199881
Arkansas,0.6048789857856319,0.4251255138738458,0.3564842951462748,0.3282769383420114,0.2894124934756549,0.3028263524057224,0.23525538460132328,0.20368491691774124,0.22345304723969386,0.17086761484545576,0.1452603072374108,0.13568718418554562,0.13568718418554562,0.13381993290241523,0.13381993290241523,0.13381993290241523
Arkansas State,0.4342681521321552,0.3190336279443649,0.3288350506920081,0.42923131017807176,0.4240261547373915,0.3699082384828124,0.38187669136818503,0.44902199690396344,0.49758246683865337,0.5306753152936456,0.4846911693208186,0.44855164831976224,0.44855164831976224,0.47589541045557965,0.47589541045557965,0.47589541045557965
Army,0.21013574081188374,0.28199681253602843,0.2314463106715655,0.3259015297005211,0.27543565991958563,0.283126254628565,0.19949112153419515,0.18542131039151796,0.203548612998703,0.22108683585978367,0.17846992695145153,0.16632373211332602,0.14076201832172974,0.13563317179105958,0.13563317179105958,0.13563317179105958
Auburn,0.7876488666922782,0.6109119777236559,0.706542307798558,0.7516157466054632,0.7898573763815839,0.8070591246937486,0.7772040695464435,0.8146869321128667,0.839803084846549,0.8459379449409606,0.9094437377644329,0.914570536356671,0.914570536356671,0.8230270262172016,0.8230270262172016,0.8230270262172016
BYU,0.37749178298544417,0.45389746259517005,0.5009392524655377,0.6450779093794705,0.674971178167677,0.7215470320000923,0.660028431177192,0.5872369655674813,0.5897383495673337,0.5490435463063001,0.5697360873991901,0.5272337463900865,0.5272337463900865,0.45115888820928707,0.45115888820928707,0.45115888820928707
Ball State,0.6155685747214752,0.6125655494585499,0.67568337523136,0.7392021556591213,0.7071405759777913,0.732162891600818,0.6600969930403077,0.6939196534972938,0.641151157612345,0.6539750597672292,0.6641800971850531,0.6150687563775818,0.6148726193283225,0.544669338539755,0.544669338539755,0.544669338539755
Baylor,0.8313612498399283,0.6868286728142035,0.7905691455565071,0.8745770640566825,0.8290526822945047,0.8612797799837135,0.7825905065275107,0.8746158163123907,0.9122683926586506,0.8647252408590655,0.8724227374745124,0.8717989819091798,0.8717989819091798,0.780941387883682,0.780941387883682,0.780941387883682
Boise State,0.4882603406326034,0.466815867107885,0.4455216304317799,0.5476179237330996,0.5869330931991947,0.5233467746587684,0.5207813882998557,0.5216217767765587,0.560663811466886,0.529062045168715,0.5561806065526542,0.5156536310925147,0.5156536310925147,0.43853211612127146,0.43853211612127146,0.4386323992374353
Boston College,0.5884876424638238,0.40520286672291594,0.48469225669217386,0.47091540510469004,0.4416377110016232,0.34575881838250244,0.42248166735097203,0.4642019787711664,0.5089150420102647,0.5836282693950247,0.5078262790769819,0.4716742637930156,0.47123343616024393,0.4012057509600772,0.4012057509600772,0.4012057509600772
Bowling Green,0.5967793571520041,0.5818438222440304,0.5966195544075803,0.5231970197297031,0.5029968969927787,0.45104600499829567,0.4012918362952294,0.4409371647115182,0.5039766020207281,0.5518122436675221,0.5988789262839196,0.6128508039666238,0.6128508039666238,0.5222979127925058,0.5222979127925058,0.5222979127925058
Buffalo,0.3948136765270841,0.3999070489229842,0.46166675875024177,0.5307798644593547,0.5534144206668311,0.594972920390904,0.5319431177901213,0.6007565889754177,0.5379850396042372,0.5727733616381225,0.5296885225091257,0.4932490162608978,0.4932490162608978,0.4321637837085992,0.4321637837085992,0.4321637837085992
California,0.39093353822512483,0.2859397533405539,0.19620880411061078,0.1915519741056678,0.16406357436606311,0.11479636442372132,0.0497750196499796,0.03447307992287618,0.01102740344336467,0.007281780875515176,0.019962113625775935,0.01821466793271531,0.01821466793271531,0.022611482496350366,0.022611482496350366,0.021506353552129265
Central Michigan,0.23818990907926751,0.15541380183867598,0.23499872234039615,0.36441455978190196,0.33573458103666826,0.34450116343503956,0.30487402752397014,0.2807366745717215,0.3203987234740746,0.3670228502094573,0.4030768991629512,0.3731842096806625,0.3731842096806625,0.35309047542479016,0.35309047542479016,0.35309047542479016
