school,points,rank
LSU,1535,1
Ohio State,1488,2
Clemson,1441,3
Oklahoma,1364,4
Georgia,1241,5
Florida,1167,6
Oregon,1141,7
Baylor,1039,8
Auburn,1011,9
Alabama,1011,9
Wisconsin,944,11
Utah,909,12
Penn State,888,13
Notre Dame,709,14
Memphis,675,15
Minnesota,645,16
Michigan,597,17
Boise State,500,18
Iowa,494,19
Appalachian State,355,20
Navy,246,21
USC,195,22
Cincinnati,183,23
Air Force,97,24
Oklahoma State,70,25
