Rank,Team,PCT,Record
1,Clemson,1.0,(14-1)
2,LSU,0.948,(15-0)
3,Ohio State,0.918,(13-1)
4,Georgia,0.862,(12-2)
5,Oregon,0.862,(12-2)
6,Penn State,0.859,(11-2)
7,Utah,0.847,(11-3)
8,Oklahoma,0.835,(12-2)
9,Baylor,0.806,(11-3)
10,Alabama,0.805,(11-2)
11,Minnesota,0.8,(11-2)
12,Michigan,0.777,(9-4)
13,Notre Dame,0.77,(11-2)
14,Florida,0.741,(11-2)
15,Appalachian State,0.73,(13-1)
16,Wisconsin,0.726,(10-4)
17,Memphis,0.725,(12-2)
18,Cincinnati,0.721,(11-3)
19,Boise State,0.712,(12-2)
20,SMU,0.705,(10-3)
21,Air Force,0.668,(11-2)
22,Louisiana,0.636,(11-3)
23,Iowa,0.627,(10-3)
24,Louisiana Tech,0.614,(10-3)
25,Virginia Tech,0.613,(8-5)
26,USC,0.613,(8-5)
27,Texas A&M,0.61,(8-5)
28,Oklahoma State,0.609,(8-5)
29,San Diego State,0.609,(10-3)
30,Navy,0.606,(11-2)
31,Auburn,0.599,(9-4)
32,Pittsburgh,0.58,(8-5)
33,Marshall,0.58,(8-5)
34,Temple,0.58,(8-5)
35,Miami,0.572,(6-7)
36,Wake Forest,0.572,(8-5)
37,Florida Atlantic,0.57,(11-3)
38,Southern Mississippi,0.567,(7-6)
39,Louisville,0.562,(8-5)
40,Virginia,0.559,(9-5)
41,Indiana,0.558,(8-5)
42,Iowa State,0.546,(7-6)
43,UCF,0.544,(10-3)
44,Illinois,0.532,(6-7)
45,BYU,0.525,(7-6)
46,Western Michigan,0.517,(7-6)
47,Washington,0.514,(8-5)
48,Utah State,0.512,(7-6)
49,Miami (OH),0.503,(8-6)
50,Central Michigan,0.501,(8-6)
51,Hawai'i,0.501,(10-5)
52,Texas,0.499,(8-5)
53,Georgia Southern,0.494,(7-6)
54,Tennessee,0.492,(8-5)
55,Kansas State,0.488,(8-5)
56,Arkansas State,0.487,(8-5)
57,UAB,0.486,(9-5)
58,Western Kentucky,0.485,(9-4)
59,Florida State,0.482,(6-7)
60,Nevada,0.48,(7-6)
61,Georgia State,0.476,(7-6)
62,Tulane,0.461,(7-6)
63,Toledo,0.458,(6-6)
64,Wyoming,0.458,(8-5)
65,Oregon State,0.45,(5-7)
66,TCU,0.429,(5-7)
67,Liberty,0.404,(8-5)
68,Buffalo,0.398,(8-5)
69,Charlotte,0.393,(7-6)
70,UCLA,0.39,(4-8)
71,Boston College,0.39,(6-7)
72,Kentucky,0.384,(8-5)
73,Florida International,0.383,(6-7)
74,Washington State,0.383,(6-7)
75,California,0.379,(8-5)
76,Troy,0.379,(5-7)
77,Eastern Michigan,0.372,(6-7)
78,Missouri,0.363,(6-6)
79,Purdue,0.34,(4-8)
80,South Florida,0.327,(4-8)
81,Army,0.326,(5-8)
82,Arizona State,0.322,(8-5)
83,Louisiana Monroe,0.322,(5-7)
84,Mississippi State,0.318,(6-7)
85,North Carolina,0.315,(7-6)
86,San José State,0.314,(5-7)
87,Colorado State,0.311,(4-8)
88,West Virginia,0.311,(5-7)
89,Fresno State,0.311,(4-8)
90,Coastal Carolina,0.31,(5-7)
91,Michigan State,0.31,(7-6)
92,South Carolina,0.308,(4-8)
93,Ohio,0.308,(7-6)
94,Ball State,0.306,(5-7)
95,Kent State,0.302,(7-6)
96,North Texas,0.302,(4-8)
97,Stanford,0.296,(4-8)
98,UT San Antonio,0.294,(4-8)
99,Northern Illinois,0.293,(5-7)
100,Syracuse,0.293,(5-7)
101,Colorado,0.279,(5-7)
102,Tulsa,0.277,(4-8)
103,Nebraska,0.277,(5-7)
104,Duke,0.276,(5-7)
105,Texas Tech,0.275,(4-8)
106,Arizona,0.273,(4-8)
107,NC State,0.271,(4-8)
108,Ole Miss,0.251,(4-8)
109,Houston,0.25,(4-8)
110,Bowling Green,0.249,(3-9)
111,Texas State,0.238,(3-9)
112,Maryland,0.237,(3-9)
113,East Carolina,0.234,(4-8)
114,Middle Tennessee,0.216,(4-8)
115,Kansas,0.21,(3-9)
116,Rutgers,0.16,(2-10)
117,Connecticut,0.157,(2-10)
118,UNLV,0.152,(4-8)
119,New Mexico,0.146,(2-10)
120,Georgia Tech,0.141,(3-9)
121,Vanderbilt,0.131,(3-9)
122,Arkansas,0.106,(2-10)
123,Rice,0.106,(3-9)
124,Northwestern,0.089,(3-9)
125,South Alabama,0.082,(2-10)
126,New Mexico State,0.081,(2-10)
127,UTEP,0.067,(1-11)
128,Old Dominion,0.063,(1-11)
129,UMass,0.03,(1-11)
130,Akron,0.0,(0-12)
