Rank,Team,PCT,Record
1,Ohio State,1.0,(13-1)
2,LSU,0.971,(15-0)
3,Clemson,0.954,(14-1)
4,Georgia,0.9,(12-2)
5,Oklahoma,0.882,(12-2)
6,Utah,0.876,(11-3)
7,Baylor,0.849,(11-3)
8,Notre Dame,0.82,(11-2)
9,Wisconsin,0.818,(10-4)
10,Oregon,0.78,(12-2)
11,Penn State,0.777,(11-2)
12,Florida,0.77,(11-2)
13,Memphis,0.768,(12-2)
14,Appalachian State,0.759,(13-1)
15,Michigan,0.755,(9-4)
16,Boise State,0.752,(12-2)
17,Alabama,0.725,(11-2)
18,Minnesota,0.723,(11-2)
19,Air Force,0.701,(11-2)
20,Iowa,0.693,(10-3)
21,Cincinnati,0.689,(11-3)
22,Louisiana,0.688,(11-3)
23,Auburn,0.683,(9-4)
24,SMU,0.672,(10-3)
25,Virginia,0.667,(9-5)
26,Navy,0.667,(11-2)
27,USC,0.637,(8-5)
28,Florida Atlantic,0.633,(11-3)
29,Virginia Tech,0.615,(8-5)
30,UCF,0.602,(10-3)
31,San Diego State,0.593,(10-3)
32,Kansas State,0.589,(8-5)
33,Oklahoma State,0.586,(8-5)
34,Louisiana Tech,0.585,(10-3)
35,Hawai'i,0.581,(10-5)
36,Tennessee,0.581,(8-5)
37,UAB,0.574,(9-5)
38,Marshall,0.564,(8-5)
39,Western Kentucky,0.557,(9-4)
40,Temple,0.55,(8-5)
41,Indiana,0.543,(8-5)
42,Central Michigan,0.542,(8-6)
43,Louisville,0.538,(8-5)
44,Wake Forest,0.535,(8-5)
45,Texas A&M,0.515,(8-5)
46,Kentucky,0.512,(8-5)
47,Iowa State,0.511,(7-6)
48,Texas,0.509,(8-5)
49,Georgia Southern,0.497,(7-6)
50,BYU,0.497,(7-6)
51,Washington,0.494,(8-5)
52,Utah State,0.493,(7-6)
53,Buffalo,0.489,(8-5)
54,Arizona State,0.482,(8-5)
55,California,0.481,(8-5)
56,Charlotte,0.477,(7-6)
57,Southern Mississippi,0.475,(7-6)
58,Miami (OH),0.474,(8-6)
59,Arkansas State,0.469,(8-5)
60,Wyoming,0.462,(8-5)
61,Western Michigan,0.462,(7-6)
62,Georgia State,0.461,(7-6)
63,Pittsburgh,0.458,(8-5)
64,Nevada,0.454,(7-6)
65,Miami,0.433,(6-7)
66,Florida State,0.432,(6-7)
67,Boston College,0.422,(6-7)
68,Florida International,0.419,(6-7)
69,North Carolina,0.415,(7-6)
70,Mississippi State,0.414,(6-7)
71,Liberty,0.41,(8-5)
72,Kent State,0.409,(7-6)
73,Michigan State,0.403,(7-6)
74,Illinois,0.396,(6-7)
75,Washington State,0.396,(6-7)
76,Tulane,0.394,(7-6)
77,Ohio,0.39,(7-6)
78,Toledo,0.388,(6-6)
79,Eastern Michigan,0.38,(6-7)
80,Missouri,0.364,(6-6)
81,Oregon State,0.349,(5-7)
82,Louisiana Monroe,0.346,(5-7)
83,Syracuse,0.341,(5-7)
84,Colorado,0.339,(5-7)
85,West Virginia,0.336,(5-7)
86,Ball State,0.334,(5-7)
87,Duke,0.332,(5-7)
88,Troy,0.331,(5-7)
89,Northern Illinois,0.328,(5-7)
90,San José State,0.324,(5-7)
91,TCU,0.32,(5-7)
92,Coastal Carolina,0.318,(5-7)
93,Army,0.31,(5-8)
94,Nebraska,0.306,(5-7)
95,South Carolina,0.305,(4-8)
96,UCLA,0.291,(4-8)
97,Tulsa,0.289,(4-8)
98,UNLV,0.284,(4-8)
99,South Florida,0.282,(4-8)
100,Houston,0.28,(4-8)
101,Colorado State,0.266,(4-8)
102,Purdue,0.264,(4-8)
103,Middle Tennessee,0.252,(4-8)
104,Fresno State,0.25,(4-8)
105,UT San Antonio,0.249,(4-8)
106,East Carolina,0.248,(4-8)
107,North Texas,0.243,(4-8)
108,Stanford,0.224,(4-8)
109,Ole Miss,0.223,(4-8)
110,Rice,0.218,(3-9)
111,Arizona,0.212,(4-8)
112,Bowling Green,0.207,(3-9)
113,Georgia Tech,0.204,(3-9)
114,Texas Tech,0.203,(4-8)
115,Texas State,0.197,(3-9)
116,Northwestern,0.183,(3-9)
117,NC State,0.177,(4-8)
118,Vanderbilt,0.171,(3-9)
119,Kansas,0.169,(3-9)
120,Maryland,0.154,(3-9)
121,South Alabama,0.149,(2-10)
122,New Mexico State,0.127,(2-10)
123,New Mexico,0.127,(2-10)
124,Connecticut,0.12,(2-10)
125,Rutgers,0.111,(2-10)
126,Arkansas,0.086,(2-10)
127,UMass,0.055,(1-11)
128,Old Dominion,0.047,(1-11)
129,UTEP,0.028,(1-11)
130,Akron,0.0,(0-12)
