Rank,Team,PCT,Record
1,Clemson,1.0,(14-1)
2,Penn State,0.991,(11-2)
3,Ohio State,0.98,(13-1)
4,LSU,0.969,(15-0)
5,Baylor,0.947,(11-3)
6,Oregon,0.924,(12-2)
7,Alabama,0.92,(11-2)
8,Utah,0.914,(11-3)
9,Minnesota,0.906,(11-2)
10,Michigan,0.834,(9-4)
11,Georgia,0.833,(12-2)
12,Oklahoma,0.795,(12-2)
13,Memphis,0.794,(12-2)
14,Wake Forest,0.777,(8-5)
15,SMU,0.768,(10-3)
16,Navy,0.76,(11-2)
17,Kansas State,0.759,(8-5)
18,Cincinnati,0.749,(11-3)
19,Notre Dame,0.743,(11-2)
20,Auburn,0.74,(9-4)
21,Florida,0.737,(11-2)
22,Appalachian State,0.721,(13-1)
23,Boise State,0.717,(12-2)
24,San Diego State,0.712,(10-3)
25,Air Force,0.711,(11-2)
26,Louisiana Tech,0.698,(10-3)
27,UCF,0.691,(10-3)
28,Indiana,0.69,(8-5)
29,Wisconsin,0.675,(10-4)
30,Louisville,0.66,(8-5)
31,Oklahoma State,0.65,(8-5)
32,Iowa,0.646,(10-3)
33,Louisiana,0.642,(11-3)
34,Texas A&M,0.634,(8-5)
35,Georgia State,0.633,(7-6)
36,Wyoming,0.616,(8-5)
37,Pittsburgh,0.593,(8-5)
38,Virginia,0.592,(9-5)
39,Florida Atlantic,0.586,(11-3)
40,Iowa State,0.578,(7-6)
41,Marshall,0.573,(8-5)
42,Tulane,0.566,(7-6)
43,Georgia Southern,0.561,(7-6)
44,Temple,0.556,(8-5)
45,Texas,0.547,(8-5)
46,USC,0.545,(8-5)
47,Miami,0.535,(6-7)
48,Illinois,0.535,(6-7)
49,UAB,0.535,(9-5)
50,Virginia Tech,0.531,(8-5)
51,Toledo,0.525,(6-6)
52,Boston College,0.524,(6-7)
53,Oregon State,0.511,(5-7)
54,Southern Mississippi,0.51,(7-6)
55,Central Michigan,0.503,(8-6)
56,Buffalo,0.503,(8-5)
57,Arizona State,0.503,(8-5)
58,Tennessee,0.499,(8-5)
59,Washington,0.497,(8-5)
60,UCLA,0.494,(4-8)
61,Liberty,0.494,(8-5)
62,Arkansas State,0.489,(8-5)
63,Missouri,0.489,(6-6)
64,Stanford,0.487,(4-8)
65,BYU,0.486,(7-6)
66,Western Kentucky,0.484,(9-4)
67,Western Michigan,0.48,(7-6)
68,Hawai'i,0.471,(10-5)
69,Nevada,0.47,(7-6)
70,Kentucky,0.469,(8-5)
71,Michigan State,0.469,(7-6)
72,Florida International,0.468,(6-7)
73,TCU,0.464,(5-7)
74,Utah State,0.463,(7-6)
75,Miami (OH),0.461,(8-6)
76,South Florida,0.447,(4-8)
77,Ohio,0.441,(7-6)
78,Ball State,0.44,(5-7)
79,South Carolina,0.436,(4-8)
80,Florida State,0.433,(6-7)
81,Fresno State,0.429,(4-8)
82,Coastal Carolina,0.429,(5-7)
83,Duke,0.413,(5-7)
84,North Carolina,0.41,(7-6)
85,Washington State,0.403,(6-7)
86,Charlotte,0.398,(7-6)
87,NC State,0.391,(4-8)
88,California,0.388,(8-5)
89,Mississippi State,0.386,(6-7)
90,San José State,0.384,(5-7)
91,Colorado State,0.383,(4-8)
92,Eastern Michigan,0.372,(6-7)
93,North Texas,0.359,(4-8)
94,Nebraska,0.337,(5-7)
95,Purdue,0.333,(4-8)
96,West Virginia,0.333,(5-7)
97,Arizona,0.32,(4-8)
98,Louisiana Monroe,0.317,(5-7)
99,UT San Antonio,0.309,(4-8)
100,Kent State,0.306,(7-6)
101,Bowling Green,0.302,(3-9)
102,Middle Tennessee,0.302,(4-8)
103,Houston,0.302,(4-8)
104,Texas Tech,0.297,(4-8)
105,Troy,0.291,(5-7)
106,Maryland,0.28,(3-9)
107,East Carolina,0.28,(4-8)
108,Kansas,0.277,(3-9)
109,Ole Miss,0.26,(4-8)
110,Army,0.26,(5-8)
111,Texas State,0.253,(3-9)
112,Northern Illinois,0.245,(5-7)
113,Vanderbilt,0.235,(3-9)
114,Georgia Tech,0.233,(3-9)
115,Tulsa,0.228,(4-8)
116,Colorado,0.215,(5-7)
117,Syracuse,0.211,(5-7)
118,UNLV,0.197,(4-8)
119,Rutgers,0.192,(2-10)
120,Connecticut,0.189,(2-10)
121,New Mexico,0.164,(2-10)
122,South Alabama,0.151,(2-10)
123,Arkansas,0.135,(2-10)
124,UTEP,0.125,(1-11)
125,UMass,0.108,(1-11)
126,Northwestern,0.107,(3-9)
127,Old Dominion,0.087,(1-11)
128,New Mexico State,0.073,(2-10)
129,Rice,0.034,(3-9)
130,Akron,0.0,(0-12)
