Rank,Team,PCT,Record
1,Penn State,1.0,(11-2)
2,LSU,0.967,(15-0)
3,Baylor,0.958,(11-3)
4,Ohio State,0.953,(13-1)
5,Oklahoma,0.95,(12-2)
6,Clemson,0.948,(14-1)
7,Alabama,0.912,(11-2)
8,Minnesota,0.887,(11-2)
9,Oregon,0.857,(12-2)
10,Florida,0.837,(11-2)
11,SMU,0.837,(10-3)
12,Utah,0.823,(11-3)
13,Appalachian State,0.804,(13-1)
14,Auburn,0.784,(9-4)
15,Notre Dame,0.766,(11-2)
16,Wisconsin,0.758,(10-4)
17,Cincinnati,0.738,(11-3)
18,Georgia,0.732,(12-2)
19,Memphis,0.729,(12-2)
20,Wake Forest,0.7,(8-5)
21,Iowa State,0.698,(7-6)
22,San Diego State,0.691,(10-3)
23,Louisiana Tech,0.687,(10-3)
24,Navy,0.686,(11-2)
25,Boise State,0.685,(12-2)
26,Michigan,0.672,(9-4)
27,Pittsburgh,0.662,(8-5)
28,Texas,0.659,(8-5)
29,UAB,0.641,(9-5)
30,Air Force,0.634,(11-2)
31,Temple,0.634,(8-5)
32,Arizona State,0.624,(8-5)
33,Virginia,0.609,(9-5)
34,Iowa,0.606,(10-3)
35,Western Kentucky,0.606,(9-4)
36,Virginia Tech,0.602,(8-5)
37,Louisiana,0.601,(11-3)
38,Missouri,0.586,(6-6)
39,Indiana,0.586,(8-5)
40,Utah State,0.584,(7-6)
41,Georgia State,0.584,(7-6)
42,UCF,0.583,(10-3)
43,Louisville,0.577,(8-5)
44,Tulane,0.577,(7-6)
45,USC,0.568,(8-5)
46,Kansas State,0.568,(8-5)
47,Wyoming,0.563,(8-5)
48,Washington,0.557,(8-5)
49,Liberty,0.551,(8-5)
50,Duke,0.516,(5-7)
51,Texas A&M,0.514,(8-5)
52,Michigan State,0.513,(7-6)
53,Ball State,0.496,(5-7)
54,Central Michigan,0.486,(8-6)
55,Hawai'i,0.485,(10-5)
56,Boston College,0.483,(6-7)
57,Nebraska,0.479,(5-7)
58,Florida International,0.476,(6-7)
59,Southern Mississippi,0.47,(7-6)
60,Oklahoma State,0.467,(8-5)
61,Florida Atlantic,0.466,(11-3)
62,Marshall,0.466,(8-5)
63,Arizona,0.464,(4-8)
64,Nevada,0.46,(7-6)
65,Eastern Michigan,0.457,(6-7)
66,South Carolina,0.452,(4-8)
67,Washington State,0.444,(6-7)
68,Toledo,0.444,(6-6)
69,Florida State,0.437,(6-7)
70,Georgia Southern,0.433,(7-6)
71,NC State,0.428,(4-8)
72,Western Michigan,0.41,(7-6)
73,Fresno State,0.409,(4-8)
74,California,0.405,(8-5)
75,Illinois,0.404,(6-7)
76,TCU,0.399,(5-7)
77,BYU,0.393,(7-6)
78,Oregon State,0.389,(5-7)
79,North Carolina,0.381,(7-6)
80,Texas Tech,0.377,(4-8)
81,Miami (OH),0.375,(8-6)
82,Arkansas State,0.364,(8-5)
83,South Florida,0.364,(4-8)
84,Stanford,0.364,(4-8)
85,West Virginia,0.361,(5-7)
86,Troy,0.358,(5-7)
87,Houston,0.356,(4-8)
88,Louisiana Monroe,0.352,(5-7)
89,San José State,0.347,(5-7)
90,Colorado,0.347,(5-7)
91,North Texas,0.345,(4-8)
92,Ohio,0.344,(7-6)
93,Miami,0.341,(6-7)
94,UT San Antonio,0.341,(4-8)
95,Buffalo,0.34,(8-5)
96,East Carolina,0.339,(4-8)
97,Coastal Carolina,0.336,(5-7)
98,Kent State,0.331,(7-6)
99,Kentucky,0.331,(8-5)
100,Mississippi State,0.33,(6-7)
101,Army,0.329,(5-8)
102,Syracuse,0.314,(5-7)
103,Maryland,0.313,(3-9)
104,Texas State,0.31,(3-9)
105,Tennessee,0.305,(8-5)
106,Purdue,0.293,(4-8)
107,UCLA,0.291,(4-8)
108,Vanderbilt,0.288,(3-9)
109,Ole Miss,0.273,(4-8)
110,Tulsa,0.271,(4-8)
111,Bowling Green,0.271,(3-9)
112,Georgia Tech,0.245,(3-9)
113,Charlotte,0.242,(7-6)
114,UNLV,0.241,(4-8)
115,Colorado State,0.227,(4-8)
116,Middle Tennessee,0.227,(4-8)
117,Kansas,0.212,(3-9)
118,New Mexico,0.196,(2-10)
119,Northern Illinois,0.184,(5-7)
120,Arkansas,0.153,(2-10)
121,Northwestern,0.151,(3-9)
122,UTEP,0.141,(1-11)
123,UMass,0.139,(1-11)
124,South Alabama,0.122,(2-10)
125,Old Dominion,0.114,(1-11)
126,Rutgers,0.102,(2-10)
127,Connecticut,0.096,(2-10)
128,Rice,0.051,(3-9)
129,New Mexico State,0.037,(2-10)
130,Akron,0.0,(0-12)
