Rank,Team,PCT,Record
1,Ohio State,1.0,(13-1)
2,LSU,0.991,(15-0)
3,Clemson,0.971,(14-1)
4,Oklahoma,0.895,(12-2)
5,Oregon,0.814,(12-2)
6,Georgia,0.809,(12-2)
7,Utah,0.78,(11-3)
8,Notre Dame,0.773,(11-2)
9,Memphis,0.766,(12-2)
10,Baylor,0.76,(11-3)
11,Appalachian State,0.76,(13-1)
12,Boise State,0.752,(12-2)
13,Penn State,0.735,(11-2)
14,Wisconsin,0.733,(10-4)
15,Florida,0.725,(11-2)
16,Michigan,0.713,(9-4)
17,Alabama,0.686,(11-2)
18,Minnesota,0.68,(11-2)
19,Navy,0.663,(11-2)
20,Air Force,0.661,(11-2)
21,Iowa,0.653,(10-3)
22,Florida Atlantic,0.648,(11-3)
23,Auburn,0.642,(9-4)
24,SMU,0.636,(10-3)
25,Cincinnati,0.619,(11-3)
26,Louisiana,0.618,(11-3)
27,USC,0.601,(8-5)
28,Virginia,0.598,(9-5)
29,Virginia Tech,0.578,(8-5)
30,UCF,0.569,(10-3)
31,San Diego State,0.559,(10-3)
32,Kansas State,0.555,(8-5)
33,Oklahoma State,0.552,(8-5)
34,Louisiana Tech,0.551,(10-3)
35,Tennessee,0.546,(8-5)
36,Marshall,0.533,(8-5)
37,Western Kentucky,0.526,(9-4)
38,Hawai'i,0.519,(10-5)
39,Temple,0.519,(8-5)
40,Indiana,0.514,(8-5)
41,UAB,0.513,(9-5)
42,Wake Forest,0.506,(8-5)
43,Louisville,0.506,(8-5)
44,Miami (OH),0.49,(8-6)
45,Texas A&M,0.483,(8-5)
46,Kentucky,0.482,(8-5)
47,Iowa State,0.482,(7-6)
48,Texas,0.478,(8-5)
49,Central Michigan,0.473,(8-6)
50,BYU,0.469,(7-6)
51,Georgia Southern,0.469,(7-6)
52,Utah State,0.466,(7-6)
53,Washington,0.464,(8-5)
54,Buffalo,0.461,(8-5)
55,Arizona State,0.455,(8-5)
56,California,0.453,(8-5)
57,Charlotte,0.452,(7-6)
58,Southern Mississippi,0.447,(7-6)
59,Arkansas State,0.442,(8-5)
60,Wyoming,0.437,(8-5)
61,Western Michigan,0.436,(7-6)
62,Georgia State,0.435,(7-6)
63,Pittsburgh,0.433,(8-5)
64,Nevada,0.429,(7-6)
65,Florida State,0.408,(6-7)
66,Miami,0.406,(6-7)
67,Boston College,0.399,(6-7)
68,Florida International,0.396,(6-7)
69,Mississippi State,0.391,(6-7)
70,North Carolina,0.39,(7-6)
71,Kent State,0.387,(7-6)
72,Liberty,0.385,(8-5)
73,Michigan State,0.38,(7-6)
74,Washington State,0.374,(6-7)
75,Tulane,0.372,(7-6)
76,Illinois,0.372,(6-7)
77,Ohio,0.369,(7-6)
78,Toledo,0.366,(6-6)
79,Eastern Michigan,0.359,(6-7)
80,Missouri,0.341,(6-6)
81,Oregon State,0.329,(5-7)
82,Louisiana Monroe,0.325,(5-7)
83,Syracuse,0.323,(5-7)
84,Colorado,0.317,(5-7)
85,Ball State,0.315,(5-7)
86,West Virginia,0.315,(5-7)
87,Troy,0.312,(5-7)
88,Duke,0.312,(5-7)
89,Northern Illinois,0.309,(5-7)
90,San José State,0.304,(5-7)
91,Coastal Carolina,0.3,(5-7)
92,TCU,0.3,(5-7)
93,Nebraska,0.286,(5-7)
94,South Carolina,0.286,(4-8)
95,UCLA,0.273,(4-8)
96,Tulsa,0.272,(4-8)
97,UNLV,0.267,(4-8)
98,Army,0.266,(5-8)
99,South Florida,0.265,(4-8)
100,Houston,0.264,(4-8)
101,Colorado State,0.252,(4-8)
102,Purdue,0.247,(4-8)
103,Middle Tennessee,0.238,(4-8)
104,Fresno State,0.235,(4-8)
105,UT San Antonio,0.235,(4-8)
106,East Carolina,0.233,(4-8)
107,North Texas,0.228,(4-8)
108,Stanford,0.212,(4-8)
109,Ole Miss,0.211,(4-8)
110,Rice,0.203,(3-9)
111,Arizona,0.197,(4-8)
112,Bowling Green,0.195,(3-9)
113,Texas Tech,0.19,(4-8)
114,Georgia Tech,0.187,(3-9)
115,Texas State,0.186,(3-9)
116,Northwestern,0.172,(3-9)
117,NC State,0.167,(4-8)
118,Vanderbilt,0.161,(3-9)
119,Kansas,0.158,(3-9)
120,Maryland,0.145,(3-9)
121,South Alabama,0.139,(2-10)
122,New Mexico State,0.119,(2-10)
123,New Mexico,0.119,(2-10)
124,Connecticut,0.113,(2-10)
125,Rutgers,0.105,(2-10)
126,Arkansas,0.081,(2-10)
127,UMass,0.052,(1-11)
128,Old Dominion,0.043,(1-11)
129,UTEP,0.025,(1-11)
130,Akron,0.0,(0-12)
