Rank,Team,PCT,Record
1,Auburn,1.0,(9-4)
2,Ohio State,0.995,(13-1)
3,Clemson,0.932,(14-1)
4,Alabama,0.922,(11-2)
5,Penn State,0.893,(11-2)
6,Wisconsin,0.875,(10-4)
7,SMU,0.865,(10-3)
8,Wake Forest,0.855,(8-5)
9,Georgia,0.851,(12-2)
10,Oklahoma,0.824,(12-2)
11,Florida,0.822,(11-2)
12,Appalachian State,0.792,(13-1)
13,Notre Dame,0.783,(11-2)
14,LSU,0.778,(15-0)
15,Boise State,0.777,(12-2)
16,Iowa,0.774,(10-3)
17,Arizona State,0.768,(8-5)
18,Memphis,0.758,(12-2)
19,Baylor,0.757,(11-3)
20,Washington,0.757,(8-5)
21,Michigan State,0.741,(7-6)
22,Oklahoma State,0.731,(8-5)
23,Minnesota,0.725,(11-2)
24,Hawai'i,0.701,(10-5)
25,Missouri,0.701,(6-6)
26,Colorado,0.696,(5-7)
27,Texas,0.692,(8-5)
28,California,0.682,(8-5)
29,Utah,0.68,(11-3)
30,Air Force,0.679,(11-2)
31,Virginia,0.671,(9-5)
32,Duke,0.668,(5-7)
33,TCU,0.667,(5-7)
34,West Virginia,0.663,(5-7)
35,Oregon,0.649,(12-2)
36,Florida State,0.648,(6-7)
37,Michigan,0.639,(9-4)
38,Wyoming,0.638,(8-5)
39,UCF,0.638,(10-3)
40,Arizona,0.637,(4-8)
41,Louisiana,0.636,(11-3)
42,Cincinnati,0.627,(11-3)
43,Temple,0.615,(8-5)
44,Utah State,0.611,(7-6)
45,Louisiana Tech,0.606,(10-3)
46,Kansas State,0.589,(8-5)
47,Tulane,0.579,(7-6)
48,USC,0.575,(8-5)
49,Eastern Michigan,0.57,(6-7)
50,Toledo,0.559,(6-6)
51,Texas A&M,0.551,(8-5)
52,Mississippi State,0.548,(6-7)
53,Navy,0.539,(11-2)
54,Nebraska,0.531,(5-7)
55,Army,0.53,(5-8)
56,Pittsburgh,0.53,(8-5)
57,San Diego State,0.524,(10-3)
58,Arkansas State,0.523,(8-5)
59,Syracuse,0.522,(5-7)
60,Liberty,0.52,(8-5)
61,Florida Atlantic,0.517,(11-3)
62,Coastal Carolina,0.513,(5-7)
63,UAB,0.503,(9-5)
64,Southern Mississippi,0.493,(7-6)
65,Western Michigan,0.493,(7-6)
66,Nevada,0.488,(7-6)
67,Maryland,0.483,(3-9)
68,Boston College,0.482,(6-7)
69,East Carolina,0.475,(4-8)
70,Indiana,0.473,(8-5)
71,Iowa State,0.472,(7-6)
72,Tulsa,0.469,(4-8)
73,NC State,0.441,(4-8)
74,Western Kentucky,0.439,(9-4)
75,San José State,0.436,(5-7)
76,Kent State,0.433,(7-6)
77,Marshall,0.413,(8-5)
78,North Carolina,0.411,(7-6)
79,Miami,0.403,(6-7)
80,Texas Tech,0.403,(4-8)
81,Fresno State,0.398,(4-8)
82,BYU,0.388,(7-6)
83,Louisville,0.385,(8-5)
84,Miami (OH),0.384,(8-6)
85,South Carolina,0.379,(4-8)
86,Texas State,0.378,(3-9)
87,Virginia Tech,0.374,(8-5)
88,Georgia State,0.373,(7-6)
89,Ole Miss,0.37,(4-8)
90,Washington State,0.368,(6-7)
91,New Mexico,0.363,(2-10)
92,Louisiana Monroe,0.362,(5-7)
93,Buffalo,0.358,(8-5)
94,Kansas,0.356,(3-9)
95,Troy,0.349,(5-7)
96,Stanford,0.343,(4-8)
97,Charlotte,0.342,(7-6)
98,Houston,0.34,(4-8)
99,Illinois,0.338,(6-7)
100,North Texas,0.32,(4-8)
101,Kentucky,0.294,(8-5)
102,Georgia Southern,0.284,(7-6)
103,Purdue,0.284,(4-8)
104,Georgia Tech,0.279,(3-9)
105,Central Michigan,0.273,(8-6)
106,Vanderbilt,0.264,(3-9)
107,Middle Tennessee,0.264,(4-8)
108,Tennessee,0.263,(8-5)
109,UCLA,0.263,(4-8)
110,Florida International,0.262,(6-7)
111,UT San Antonio,0.259,(4-8)
112,Bowling Green,0.258,(3-9)
113,Northwestern,0.253,(3-9)
114,South Florida,0.242,(4-8)
115,Arkansas,0.24,(2-10)
116,Ohio,0.223,(7-6)
117,Rutgers,0.222,(2-10)
118,UTEP,0.211,(1-11)
119,Ball State,0.202,(5-7)
120,Connecticut,0.201,(2-10)
121,UNLV,0.197,(4-8)
122,Old Dominion,0.194,(1-11)
123,South Alabama,0.186,(2-10)
124,Oregon State,0.17,(5-7)
125,UMass,0.169,(1-11)
126,Colorado State,0.157,(4-8)
127,Northern Illinois,0.126,(5-7)
128,Rice,0.086,(3-9)
129,New Mexico State,0.04,(2-10)
130,Akron,0.0,(0-12)
