Rank,Team,PCT,Record
1,Ohio State,1.0,(13-1)
2,Clemson,0.998,(14-1)
3,LSU,0.977,(15-0)
4,Georgia,0.932,(12-2)
5,Utah,0.892,(11-3)
6,Oklahoma,0.883,(12-2)
7,Baylor,0.872,(11-3)
8,Michigan,0.85,(9-4)
9,Notre Dame,0.837,(11-2)
10,Alabama,0.833,(11-2)
11,Minnesota,0.823,(11-2)
12,Penn State,0.809,(11-2)
13,Wisconsin,0.791,(10-4)
14,Oregon,0.786,(12-2)
15,Cincinnati,0.773,(11-3)
16,Appalachian State,0.772,(13-1)
17,Boise State,0.769,(12-2)
18,Memphis,0.766,(12-2)
19,Florida,0.756,(11-2)
20,Virginia Tech,0.718,(8-5)
21,Air Force,0.701,(11-2)
22,Iowa,0.701,(10-3)
23,Louisiana,0.692,(11-3)
24,USC,0.675,(8-5)
25,Navy,0.675,(11-2)
26,SMU,0.67,(10-3)
27,Oklahoma State,0.663,(8-5)
28,Wake Forest,0.639,(8-5)
29,Auburn,0.638,(9-4)
30,Virginia,0.628,(9-5)
31,Louisville,0.624,(8-5)
32,Florida Atlantic,0.623,(11-3)
33,UCF,0.601,(10-3)
34,Iowa State,0.596,(7-6)
35,Texas A&M,0.58,(8-5)
36,Louisiana Tech,0.578,(10-3)
37,San Diego State,0.576,(10-3)
38,Hawai'i,0.569,(10-5)
39,Tennessee,0.569,(8-5)
40,UAB,0.563,(9-5)
41,BYU,0.558,(7-6)
42,Temple,0.554,(8-5)
43,Western Kentucky,0.553,(9-4)
44,Arkansas State,0.55,(8-5)
45,Kansas State,0.547,(8-5)
46,Pittsburgh,0.545,(8-5)
47,Marshall,0.545,(8-5)
48,Miami (OH),0.542,(8-6)
49,Miami,0.536,(6-7)
50,Southern Mississippi,0.533,(7-6)
51,Western Michigan,0.532,(7-6)
52,Nevada,0.529,(7-6)
53,Indiana,0.521,(8-5)
54,Georgia State,0.521,(7-6)
55,Central Michigan,0.516,(8-6)
56,Wyoming,0.515,(8-5)
57,Illinois,0.495,(6-7)
58,Florida State,0.491,(6-7)
59,Utah State,0.491,(7-6)
60,Florida International,0.479,(6-7)
61,Texas,0.477,(8-5)
62,Buffalo,0.472,(8-5)
63,Charlotte,0.47,(7-6)
64,Washington State,0.468,(6-7)
65,Georgia Southern,0.468,(7-6)
66,California,0.455,(8-5)
67,Arizona State,0.45,(8-5)
68,Washington,0.449,(8-5)
69,Kentucky,0.446,(8-5)
70,Tulane,0.435,(7-6)
71,Eastern Michigan,0.435,(6-7)
72,Toledo,0.432,(6-6)
73,TCU,0.403,(5-7)
74,Oregon State,0.397,(5-7)
75,Louisiana Monroe,0.388,(5-7)
76,Liberty,0.384,(8-5)
77,Colorado,0.378,(5-7)
78,Mississippi State,0.376,(6-7)
79,Ohio,0.373,(7-6)
80,North Carolina,0.373,(7-6)
81,Kent State,0.372,(7-6)
82,Michigan State,0.369,(7-6)
83,Boston College,0.367,(6-7)
84,Troy,0.361,(5-7)
85,UCLA,0.358,(4-8)
86,Nebraska,0.355,(5-7)
87,Army,0.346,(5-8)
88,South Carolina,0.335,(4-8)
89,Missouri,0.324,(6-6)
90,South Florida,0.319,(4-8)
91,Purdue,0.318,(4-8)
92,Houston,0.312,(4-8)
93,Colorado State,0.292,(4-8)
94,Fresno State,0.292,(4-8)
95,East Carolina,0.291,(4-8)
96,Coastal Carolina,0.285,(5-7)
97,West Virginia,0.283,(5-7)
98,San José State,0.281,(5-7)
99,Middle Tennessee,0.281,(4-8)
100,Ball State,0.28,(5-7)
101,Ole Miss,0.279,(4-8)
102,Northern Illinois,0.278,(5-7)
103,UT San Antonio,0.278,(4-8)
104,North Texas,0.269,(4-8)
105,Duke,0.263,(5-7)
106,Syracuse,0.257,(5-7)
107,Arizona,0.257,(4-8)
108,Stanford,0.252,(4-8)
109,Tulsa,0.247,(4-8)
110,Texas Tech,0.24,(4-8)
111,Texas State,0.234,(3-9)
112,Bowling Green,0.232,(3-9)
113,UNLV,0.228,(4-8)
114,Georgia Tech,0.228,(3-9)
115,NC State,0.215,(4-8)
116,Maryland,0.202,(3-9)
117,Vanderbilt,0.201,(3-9)
118,Kansas,0.183,(3-9)
119,Rice,0.178,(3-9)
120,New Mexico,0.146,(2-10)
121,New Mexico State,0.144,(2-10)
122,Connecticut,0.134,(2-10)
123,Rutgers,0.121,(2-10)
124,Arkansas,0.119,(2-10)
125,Northwestern,0.094,(3-9)
126,South Alabama,0.077,(2-10)
127,Old Dominion,0.056,(1-11)
128,UTEP,0.046,(1-11)
129,UMass,0.028,(1-11)
130,Akron,0.0,(0-12)
