school,points,rank
LSU,0,1
Ohio State,0,2
Clemson,0,3
Oklahoma,0,4
Georgia,0,5
Oregon,0,6
Baylor,0,7
Wisconsin,0,8
Florida,0,9
Penn State,0,10
Utah,0,11
Auburn,0,12
Alabama,0,13
Michigan,0,14
Notre Dame,0,15
Iowa,0,16
Memphis,0,17
Minnesota,0,18
Boise State,0,19
Appalachian State,0,20
Cincinnati,0,21
USC,0,22
Navy,0,23
Virginia,0,24
Oklahoma State,0,25
