Rank,Team,PCT,Record
1,LSU,1.0,(15-0)
2,Clemson,0.869,(14-1)
3,Ohio State,0.831,(13-1)
4,Georgia,0.775,(12-2)
5,Oregon,0.763,(12-2)
6,Oklahoma,0.743,(12-2)
7,Notre Dame,0.723,(11-2)
8,Appalachian State,0.705,(13-1)
9,Florida,0.691,(11-2)
10,Penn State,0.685,(11-2)
11,Alabama,0.666,(11-2)
12,Minnesota,0.657,(11-2)
13,Utah,0.643,(11-3)
14,Memphis,0.641,(12-2)
15,Navy,0.639,(11-2)
16,Iowa,0.63,(10-3)
17,Air Force,0.63,(11-2)
18,Baylor,0.625,(11-3)
19,Boise State,0.621,(12-2)
20,Florida Atlantic,0.61,(11-3)
21,Wisconsin,0.603,(10-4)
22,Cincinnati,0.592,(11-3)
23,Michigan,0.585,(9-4)
24,Louisiana,0.582,(11-3)
25,UCF,0.544,(10-3)
26,Louisiana Tech,0.535,(10-3)
27,San Diego State,0.535,(10-3)
28,Tennessee,0.533,(8-5)
29,Auburn,0.532,(9-4)
30,SMU,0.532,(10-3)
31,Western Kentucky,0.496,(9-4)
32,USC,0.494,(8-5)
33,Texas,0.491,(8-5)
34,Virginia,0.491,(9-5)
35,Hawai'i,0.491,(10-5)
36,Louisville,0.488,(8-5)
37,Kentucky,0.487,(8-5)
38,Texas A&M,0.481,(8-5)
39,Virginia Tech,0.459,(8-5)
40,Washington,0.457,(8-5)
41,Kansas State,0.453,(8-5)
42,California,0.449,(8-5)
43,Arizona State,0.448,(8-5)
44,Buffalo,0.445,(8-5)
45,Marshall,0.44,(8-5)
46,Oklahoma State,0.432,(8-5)
47,UAB,0.432,(9-5)
48,Arkansas State,0.424,(8-5)
49,Wyoming,0.424,(8-5)
50,Temple,0.418,(8-5)
51,Pittsburgh,0.415,(8-5)
52,Indiana,0.406,(8-5)
53,Miami (OH),0.405,(8-6)
54,Wake Forest,0.394,(8-5)
55,Michigan State,0.391,(7-6)
56,Central Michigan,0.39,(8-6)
57,Iowa State,0.388,(7-6)
58,North Carolina,0.387,(7-6)
59,BYU,0.38,(7-6)
60,Georgia Southern,0.38,(7-6)
61,Liberty,0.38,(8-5)
62,Kent State,0.379,(7-6)
63,Utah State,0.374,(7-6)
64,Tulane,0.367,(7-6)
65,Charlotte,0.366,(7-6)
66,Ohio,0.365,(7-6)
67,Southern Mississippi,0.361,(7-6)
68,Western Michigan,0.354,(7-6)
69,Georgia State,0.354,(7-6)
70,Nevada,0.346,(7-6)
71,Miami,0.328,(6-7)
72,Boston College,0.325,(6-7)
73,Toledo,0.324,(6-6)
74,Florida International,0.314,(6-7)
75,Florida State,0.31,(6-7)
76,Washington State,0.309,(6-7)
77,Missouri,0.306,(6-6)
78,Mississippi State,0.304,(6-7)
79,Oregon State,0.293,(5-7)
80,Illinois,0.288,(6-7)
81,Louisiana Monroe,0.286,(5-7)
82,Syracuse,0.282,(5-7)
83,Colorado,0.279,(5-7)
84,Ball State,0.277,(5-7)
85,Eastern Michigan,0.276,(6-7)
86,Troy,0.275,(5-7)
87,Duke,0.272,(5-7)
88,Northern Illinois,0.27,(5-7)
89,West Virginia,0.27,(5-7)
90,San José State,0.269,(5-7)
91,Coastal Carolina,0.266,(5-7)
92,TCU,0.256,(5-7)
93,South Carolina,0.255,(4-8)
94,Nebraska,0.249,(5-7)
95,Tulsa,0.241,(4-8)
96,UCLA,0.241,(4-8)
97,Army,0.237,(5-8)
98,UNLV,0.236,(4-8)
99,South Florida,0.232,(4-8)
100,Houston,0.232,(4-8)
101,Colorado State,0.222,(4-8)
102,Purdue,0.213,(4-8)
103,Middle Tennessee,0.21,(4-8)
104,UT San Antonio,0.208,(4-8)
105,Fresno State,0.207,(4-8)
106,East Carolina,0.205,(4-8)
107,North Texas,0.2,(4-8)
108,Stanford,0.19,(4-8)
109,Ole Miss,0.185,(4-8)
110,Rice,0.177,(3-9)
111,Arizona,0.174,(4-8)
112,Bowling Green,0.173,(3-9)
113,Texas State,0.165,(3-9)
114,Georgia Tech,0.163,(3-9)
115,Texas Tech,0.161,(4-8)
116,Northwestern,0.148,(3-9)
117,NC State,0.147,(4-8)
118,Vanderbilt,0.146,(3-9)
119,Kansas,0.131,(3-9)
120,Maryland,0.126,(3-9)
121,South Alabama,0.123,(2-10)
122,New Mexico State,0.107,(2-10)
123,New Mexico,0.104,(2-10)
124,Connecticut,0.099,(2-10)
125,Rutgers,0.091,(2-10)
126,Arkansas,0.072,(2-10)
127,UMass,0.046,(1-11)
128,Old Dominion,0.035,(1-11)
129,UTEP,0.021,(1-11)
130,Akron,0.0,(0-12)
