school,points,rank
LSU,1605,1
Ohio State,1562,2
Clemson,1513,3
Oklahoma,1430,4
Georgia,1294,5
Oregon,1189,6
Florida,1172,7
Baylor,1161,8
Alabama,1092,9
Utah,1005,10
Wisconsin,988,11
Penn State,967,12
Auburn,962,13
Notre Dame,771,14
Memphis,667,15
Minnesota,654,16
Michigan,592,17
Boise State,566,18
Iowa,485,19
Appalachian State,375,20
Navy,234,21
Cincinnati,233,22
USC,189,23
Air Force,151,24
Virginia,73,25
