Rank,Team,PCT,Record
1,Ohio State,1.0,(13-1)
2,Clemson,0.996,(14-1)
3,Auburn,0.99,(9-4)
4,Wisconsin,0.951,(10-4)
5,California,0.95,(8-5)
6,Georgia,0.932,(12-2)
7,SMU,0.924,(10-3)
8,Florida,0.912,(11-2)
9,Alabama,0.899,(11-2)
10,Virginia,0.89,(9-5)
11,Boise State,0.884,(12-2)
12,Iowa,0.858,(10-3)
13,Wake Forest,0.842,(8-5)
14,Kansas State,0.837,(8-5)
15,LSU,0.834,(15-0)
16,Appalachian State,0.821,(13-1)
17,Penn State,0.818,(11-2)
18,West Virginia,0.79,(5-7)
19,Colorado,0.788,(5-7)
20,Texas,0.763,(8-5)
21,Missouri,0.748,(6-6)
22,Mississippi State,0.746,(6-7)
23,USC,0.739,(8-5)
24,Memphis,0.735,(12-2)
25,Oklahoma,0.729,(12-2)
26,Washington,0.703,(8-5)
27,Oregon,0.702,(12-2)
28,Minnesota,0.698,(11-2)
29,Navy,0.677,(11-2)
30,UAB,0.677,(9-5)
31,Nebraska,0.672,(5-7)
32,Baylor,0.664,(11-3)
33,Air Force,0.654,(11-2)
34,Arizona State,0.653,(8-5)
35,Michigan State,0.653,(7-6)
36,Arizona,0.651,(4-8)
37,Notre Dame,0.649,(11-2)
38,Hawai'i,0.645,(10-5)
39,Eastern Michigan,0.63,(6-7)
40,Boston College,0.628,(6-7)
41,Indiana,0.62,(8-5)
42,Nevada,0.619,(7-6)
43,Louisiana,0.617,(11-3)
44,Coastal Carolina,0.616,(5-7)
45,Tulane,0.608,(7-6)
46,Louisiana Tech,0.598,(10-3)
47,Wyoming,0.596,(8-5)
48,Utah State,0.596,(7-6)
49,Oklahoma State,0.59,(8-5)
50,Temple,0.587,(8-5)
51,San José State,0.586,(5-7)
52,NC State,0.583,(4-8)
53,Maryland,0.573,(3-9)
54,TCU,0.567,(5-7)
55,Utah,0.564,(11-3)
56,Michigan,0.561,(9-4)
57,Iowa State,0.551,(7-6)
58,Army,0.551,(5-8)
59,San Diego State,0.55,(10-3)
60,UCF,0.547,(10-3)
61,Florida State,0.538,(6-7)
62,Cincinnati,0.537,(11-3)
63,Duke,0.53,(5-7)
64,Marshall,0.511,(8-5)
65,BYU,0.501,(7-6)
66,Virginia Tech,0.496,(8-5)
67,Pittsburgh,0.496,(8-5)
68,North Carolina,0.484,(7-6)
69,Toledo,0.484,(6-6)
70,Ole Miss,0.484,(4-8)
71,Kansas,0.482,(3-9)
72,Tulsa,0.474,(4-8)
73,Syracuse,0.461,(5-7)
74,Texas Tech,0.458,(4-8)
75,Buffalo,0.454,(8-5)
76,New Mexico,0.444,(2-10)
77,Kentucky,0.444,(8-5)
78,North Texas,0.44,(4-8)
79,Arkansas State,0.438,(8-5)
80,Southern Mississippi,0.435,(7-6)
81,Texas A&M,0.429,(8-5)
82,Kent State,0.427,(7-6)
83,Florida Atlantic,0.426,(11-3)
84,Troy,0.424,(5-7)
85,Liberty,0.421,(8-5)
86,Washington State,0.42,(6-7)
87,Miami,0.414,(6-7)
88,East Carolina,0.411,(4-8)
89,Charlotte,0.402,(7-6)
90,UCLA,0.373,(4-8)
91,Western Michigan,0.364,(7-6)
92,Arkansas,0.341,(2-10)
93,Illinois,0.341,(6-7)
94,Georgia Southern,0.333,(7-6)
95,Georgia Tech,0.332,(3-9)
96,Georgia State,0.331,(7-6)
97,Louisville,0.326,(8-5)
98,Fresno State,0.319,(4-8)
99,Central Michigan,0.306,(8-6)
100,Oregon State,0.297,(5-7)
101,Old Dominion,0.281,(1-11)
102,Northern Illinois,0.261,(5-7)
103,UTEP,0.261,(1-11)
104,Texas State,0.258,(3-9)
105,Rutgers,0.254,(2-10)
106,Middle Tennessee,0.243,(4-8)
107,Purdue,0.242,(4-8)
108,South Florida,0.239,(4-8)
109,South Alabama,0.238,(2-10)
110,Western Kentucky,0.237,(9-4)
111,Miami (OH),0.235,(8-6)
112,Northwestern,0.231,(3-9)
113,Tennessee,0.209,(8-5)
114,Bowling Green,0.207,(3-9)
115,Louisiana Monroe,0.206,(5-7)
116,UT San Antonio,0.204,(4-8)
117,Connecticut,0.202,(2-10)
118,Houston,0.192,(4-8)
119,Stanford,0.188,(4-8)
120,Florida International,0.187,(6-7)
121,South Carolina,0.178,(4-8)
122,UNLV,0.176,(4-8)
123,Ball State,0.151,(5-7)
124,Ohio,0.147,(7-6)
125,Colorado State,0.14,(4-8)
126,Vanderbilt,0.08,(3-9)
127,Rice,0.055,(3-9)
128,New Mexico State,0.032,(2-10)
129,Akron,0.008,(0-12)
130,UMass,0.0,(1-11)
