Rank,Team,PCT,Record
1,LSU,1.0,(15-0)
2,Clemson,0.99,(14-1)
3,Ohio State,0.967,(13-1)
4,Minnesota,0.954,(11-2)
5,Baylor,0.929,(11-3)
6,Oregon,0.877,(12-2)
7,Georgia,0.86,(12-2)
8,Penn State,0.857,(11-2)
9,Utah,0.853,(11-3)
10,Oklahoma,0.813,(12-2)
11,Alabama,0.81,(11-2)
12,Michigan,0.772,(9-4)
13,Notre Dame,0.771,(11-2)
14,SMU,0.757,(10-3)
15,Memphis,0.751,(12-2)
16,Florida,0.74,(11-2)
17,Appalachian State,0.737,(13-1)
18,Cincinnati,0.736,(11-3)
19,Boise State,0.731,(12-2)
20,Wisconsin,0.716,(10-4)
21,Navy,0.709,(11-2)
22,Louisiana Tech,0.705,(10-3)
23,Auburn,0.697,(9-4)
24,Air Force,0.672,(11-2)
25,Louisiana,0.655,(11-3)
26,Wake Forest,0.645,(8-5)
27,Indiana,0.639,(8-5)
28,Kansas State,0.625,(8-5)
29,Virginia Tech,0.62,(8-5)
30,Florida Atlantic,0.606,(11-3)
31,San Diego State,0.603,(10-3)
32,Texas,0.603,(8-5)
33,Oklahoma State,0.598,(8-5)
34,Virginia,0.597,(9-5)
35,Miami,0.597,(6-7)
36,Texas A&M,0.596,(8-5)
37,USC,0.589,(8-5)
38,UCF,0.577,(10-3)
39,Illinois,0.571,(6-7)
40,Temple,0.563,(8-5)
41,Southern Mississippi,0.55,(7-6)
42,Pittsburgh,0.548,(8-5)
43,Iowa,0.539,(10-3)
44,Toledo,0.539,(6-6)
45,Marshall,0.539,(8-5)
46,Washington,0.539,(8-5)
47,Georgia State,0.538,(7-6)
48,Louisville,0.537,(8-5)
49,Tulane,0.535,(7-6)
50,Wyoming,0.534,(8-5)
51,BYU,0.52,(7-6)
52,Tennessee,0.515,(8-5)
53,Western Kentucky,0.505,(9-4)
54,Nevada,0.504,(7-6)
55,Western Michigan,0.501,(7-6)
56,Hawai'i,0.49,(10-5)
57,Iowa State,0.487,(7-6)
58,Utah State,0.483,(7-6)
59,Miami (OH),0.48,(8-6)
60,Central Michigan,0.474,(8-6)
61,Florida State,0.472,(6-7)
62,Buffalo,0.469,(8-5)
63,UAB,0.467,(9-5)
64,Arkansas State,0.466,(8-5)
65,Georgia Southern,0.464,(7-6)
66,UCLA,0.454,(4-8)
67,California,0.445,(8-5)
68,Missouri,0.416,(6-6)
69,Liberty,0.416,(8-5)
70,Charlotte,0.408,(7-6)
71,Oregon State,0.402,(5-7)
72,Arizona State,0.398,(8-5)
73,Florida International,0.398,(6-7)
74,Boston College,0.398,(6-7)
75,TCU,0.397,(5-7)
76,North Carolina,0.381,(7-6)
77,Louisiana Monroe,0.374,(5-7)
78,South Florida,0.368,(4-8)
79,Stanford,0.363,(4-8)
80,South Carolina,0.362,(4-8)
81,Coastal Carolina,0.36,(5-7)
82,Ball State,0.359,(5-7)
83,Mississippi State,0.358,(6-7)
84,Colorado State,0.356,(4-8)
85,Michigan State,0.354,(7-6)
86,Ohio,0.353,(7-6)
87,Eastern Michigan,0.35,(6-7)
88,Fresno State,0.349,(4-8)
89,Texas Tech,0.349,(4-8)
90,Kentucky,0.345,(8-5)
91,Purdue,0.343,(4-8)
92,Duke,0.34,(5-7)
93,Troy,0.338,(5-7)
94,UT San Antonio,0.329,(4-8)
95,NC State,0.328,(4-8)
96,Nebraska,0.323,(5-7)
97,Washington State,0.314,(6-7)
98,San José State,0.312,(5-7)
99,North Texas,0.31,(4-8)
100,Arizona,0.303,(4-8)
101,Army,0.287,(5-8)
102,Bowling Green,0.286,(3-9)
103,Colorado,0.284,(5-7)
104,Tulsa,0.28,(4-8)
105,Texas State,0.279,(3-9)
106,Middle Tennessee,0.278,(4-8)
107,Houston,0.278,(4-8)
108,Ole Miss,0.275,(4-8)
109,Kansas,0.257,(3-9)
110,Kent State,0.244,(7-6)
111,Maryland,0.235,(3-9)
112,West Virginia,0.232,(5-7)
113,Northern Illinois,0.227,(5-7)
114,East Carolina,0.227,(4-8)
115,Syracuse,0.195,(5-7)
116,Vanderbilt,0.18,(3-9)
117,UNLV,0.177,(4-8)
118,Rutgers,0.175,(2-10)
119,Georgia Tech,0.165,(3-9)
120,New Mexico,0.153,(2-10)
121,Connecticut,0.146,(2-10)
122,South Alabama,0.087,(2-10)
123,Arkansas,0.084,(2-10)
124,UTEP,0.073,(1-11)
125,UMass,0.062,(1-11)
126,Rice,0.034,(3-9)
127,Old Dominion,0.033,(1-11)
128,Northwestern,0.013,(3-9)
129,New Mexico State,0.002,(2-10)
130,Akron,0.0,(0-12)
