Rank,Team,PCT,Record
1,Ohio State,1.0,(13-1)
2,Florida,0.869,(11-2)
3,Penn State,0.856,(11-2)
4,Wisconsin,0.835,(10-4)
5,Clemson,0.832,(14-1)
6,Baylor,0.824,(11-3)
7,Alabama,0.822,(11-2)
8,Oklahoma,0.82,(12-2)
9,SMU,0.81,(10-3)
10,Georgia,0.797,(12-2)
11,Auburn,0.786,(9-4)
12,LSU,0.779,(15-0)
13,Minnesota,0.754,(11-2)
14,Wake Forest,0.75,(8-5)
15,Memphis,0.744,(12-2)
16,Oregon,0.727,(12-2)
17,Michigan,0.724,(9-4)
18,Notre Dame,0.72,(11-2)
19,Boise State,0.718,(12-2)
20,Appalachian State,0.716,(13-1)
21,Texas,0.716,(8-5)
22,Arizona,0.695,(4-8)
23,Missouri,0.67,(6-6)
24,Cincinnati,0.635,(11-3)
25,Arizona State,0.634,(8-5)
26,Hawai'i,0.631,(10-5)
27,Temple,0.621,(8-5)
28,Iowa,0.607,(10-3)
29,Utah,0.605,(11-3)
30,Virginia,0.605,(9-5)
31,Tulane,0.601,(7-6)
32,Louisiana,0.592,(11-3)
33,Pittsburgh,0.589,(8-5)
34,Florida State,0.589,(6-7)
35,Toledo,0.585,(6-6)
36,Michigan State,0.576,(7-6)
37,Navy,0.575,(11-2)
38,Wyoming,0.564,(8-5)
39,Iowa State,0.556,(7-6)
40,Louisiana Tech,0.552,(10-3)
41,Washington,0.537,(8-5)
42,Texas Tech,0.535,(4-8)
43,California,0.526,(8-5)
44,Nebraska,0.525,(5-7)
45,San Diego State,0.524,(10-3)
46,Oklahoma State,0.523,(8-5)
47,Maryland,0.516,(3-9)
48,UCF,0.513,(10-3)
49,USC,0.511,(8-5)
50,UAB,0.509,(9-5)
51,Colorado,0.509,(5-7)
52,Air Force,0.509,(11-2)
53,Liberty,0.501,(8-5)
54,Duke,0.496,(5-7)
55,Louisville,0.494,(8-5)
56,West Virginia,0.486,(5-7)
57,Utah State,0.484,(7-6)
58,Texas A&M,0.479,(8-5)
59,Stanford,0.478,(4-8)
60,Western Kentucky,0.476,(9-4)
61,Florida Atlantic,0.471,(11-3)
62,Syracuse,0.47,(5-7)
63,Mississippi State,0.468,(6-7)
64,San José State,0.466,(5-7)
65,TCU,0.462,(5-7)
66,Coastal Carolina,0.454,(5-7)
67,Kansas State,0.452,(8-5)
68,Virginia Tech,0.441,(8-5)
69,Southern Mississippi,0.439,(7-6)
70,Georgia State,0.439,(7-6)
71,North Carolina,0.439,(7-6)
72,Nevada,0.438,(7-6)
73,Army,0.424,(5-8)
74,Eastern Michigan,0.421,(6-7)
75,Indiana,0.415,(8-5)
76,Ole Miss,0.407,(4-8)
77,NC State,0.399,(4-8)
78,Western Michigan,0.391,(7-6)
79,Arkansas State,0.388,(8-5)
80,East Carolina,0.369,(4-8)
81,Fresno State,0.365,(4-8)
82,South Carolina,0.358,(4-8)
83,Tulsa,0.357,(4-8)
84,Texas State,0.354,(3-9)
85,Central Michigan,0.354,(8-6)
86,BYU,0.345,(7-6)
87,Miami (OH),0.344,(8-6)
88,Washington State,0.336,(6-7)
89,Boston College,0.335,(6-7)
90,Kent State,0.33,(7-6)
91,Georgia Southern,0.33,(7-6)
92,Florida International,0.325,(6-7)
93,Houston,0.318,(4-8)
94,Middle Tennessee,0.316,(4-8)
95,Charlotte,0.315,(7-6)
96,UT San Antonio,0.311,(4-8)
97,South Florida,0.304,(4-8)
98,North Texas,0.301,(4-8)
99,Ohio,0.3,(7-6)
100,Marshall,0.3,(8-5)
101,Louisiana Monroe,0.297,(5-7)
102,Ball State,0.277,(5-7)
103,Illinois,0.277,(6-7)
104,Oregon State,0.276,(5-7)
105,Miami,0.275,(6-7)
106,New Mexico,0.275,(2-10)
107,Kentucky,0.272,(8-5)
108,Troy,0.26,(5-7)
109,Kansas,0.249,(3-9)
110,Buffalo,0.248,(8-5)
111,Arkansas,0.239,(2-10)
112,Tennessee,0.209,(8-5)
113,Purdue,0.206,(4-8)
114,Bowling Green,0.182,(3-9)
115,Georgia Tech,0.158,(3-9)
116,UNLV,0.156,(4-8)
117,Vanderbilt,0.148,(3-9)
118,Northwestern,0.142,(3-9)
119,UCLA,0.138,(4-8)
120,UTEP,0.132,(1-11)
121,Old Dominion,0.132,(1-11)
122,Rutgers,0.123,(2-10)
123,Connecticut,0.117,(2-10)
124,UMass,0.11,(1-11)
125,South Alabama,0.104,(2-10)
126,Colorado State,0.102,(4-8)
127,Northern Illinois,0.066,(5-7)
128,Rice,0.046,(3-9)
129,Akron,0.021,(0-12)
130,New Mexico State,0.0,(2-10)
