,PCT,Rank
Alabama,1.0,1
LSU,0.9527306130915341,2
Oklahoma,0.9226953506978399,3
Oregon,0.9152517260793553,4
Auburn,0.8995703321776751,5
Michigan State,0.8734228227694314,6
Michigan,0.8695706285003111,7
TCU,0.8679171481909503,8
Oklahoma State,0.8539080016989165,9
Ohio State,0.8411473612469257,10
Arizona,0.8354026530753351,11
Florida,0.7876986596339428,12
Kansas State,0.7802421943678944,13
Boise State,0.7710117442538102,14
Nevada,0.7706581325747474,15
Missouri,0.7674706887525804,16
Iowa,0.764206201045031,17
Northwestern,0.7492873440602128,18
Nebraska,0.7358382473503817,19
Stanford,0.7312906826285793,20
Florida State,0.7224958267895418,21
Miami,0.6950988235991347,22
Baylor,0.6802046601673235,23
Utah,0.677018204087277,24
Virginia Tech,0.6636955383688427,25
Temple,0.6450963542438339,26
Air Force,0.6336820063017947,27
NC State,0.6317618356199562,28
West Virginia,0.6294929919696566,29
Southern Mississippi,0.6291601228751198,30
Wisconsin,0.624075226439881,31
UCLA,0.5980600744757558,32
Washington,0.5945763080175027,33
Maryland,0.5859444296283126,34
USC,0.5833545697889195,35
Colorado,0.5648502089074584,36
UTEP,0.5636313351310239,37
South Carolina,0.5621833051826829,38
Houston,0.5618425341511838,39
Iowa State,0.5493624124613545,40
San Diego State,0.5461374344386167,41
Ole Miss,0.5455931885303384,42
Arkansas,0.5429001096393753,43
Oregon State,0.5355636550409419,44
South Florida,0.5205351586807716,45
Connecticut,0.5196708843255202,46
Texas A&M,0.5158236287670015,47
Fresno State,0.5108750407443625,48
Indiana,0.5028891457018402,49
California,0.49627127349591565,50
Penn State,0.4959828527967918,51
Mississippi State,0.4925573631236357,52
Georgia Tech,0.49217807014944537,53
Toledo,0.4907675744016752,54
Syracuse,0.48939905769401726,55
Texas,0.4768759692219555,56
North Carolina,0.4736025918353236,57
Tulsa,0.4705405912624332,58
SMU,0.4703153860590077,59
Hawai'i,0.46802777530842243,60
Miami (OH),0.4668247054059126,61
Army,0.4510366353552414,62
Illinois,0.43657707845635657,63
Idaho,0.4341699509092166,64
Tulane,0.4334434665797453,65
Notre Dame,0.4225264467952707,66
Northern Illinois,0.4133681018559674,67
UCF,0.4008405685443644,68
Kentucky,0.39798303059037343,69
Navy,0.37866081923331457,70
Troy,0.3658893136180006,71
Pittsburgh,0.36428917138313527,72
Purdue,0.3615630031311425,73
Virginia,0.3592146462401596,74
Clemson,0.35877016228603037,75
Louisiana,0.35622919568159145,76
Kansas,0.3521083355557531,77
Wyoming,0.3464544996592289,78
Middle Tennessee,0.34625053091138963,79
Tennessee,0.3347734613447121,80
Utah State,0.33451269742495626,81
Louisville,0.3338864689206942,82
East Carolina,0.313855058721269,83
Ball State,0.3066050315583607,84
Vanderbilt,0.2987030945960628,85
Texas Tech,0.29826848806313644,86
Central Michigan,0.2877707648087237,87
Buffalo,0.2810383145168459,88
Ohio,0.27368951314190887,89
Rutgers,0.26604340138876537,90
Wake Forest,0.2650961566954099,91
Cincinnati,0.25729941426892267,92
Arizona State,0.2552878774409577,93
Boston College,0.25314595865311484,94
Colorado State,0.23480803231892214,95
Western Michigan,0.22990438656275616,96
Louisiana Monroe,0.228793176677433,97
San José State,0.20409715431495143,98
UNLV,0.19678391165634473,99
Memphis,0.1916634565047757,100
BYU,0.19111822285437716,101
Florida Atlantic,0.18789324483163933,102
Marshall,0.18468209519858553,103
Minnesota,0.18465246293497692,104
UAB,0.1836261988719985,105
Kent State,0.17337343566341695,106
Bowling Green,0.16191266384172415,107
Rice,0.16020584545786784,108
Louisiana Tech,0.15362748293675488,109
Washington State,0.14258650151618416,110
Duke,0.13443762902381445,111
North Texas,0.1333708675339042,112
Georgia,0.12183799053743044,113
Arkansas State,0.1194081449215239,114
Western Kentucky,0.08134056360565384,115
New Mexico State,0.08076273446528576,116
New Mexico,0.038721466599500154,117
Eastern Michigan,0.024142392904060506,118
Akron,0.023389733408401725,119
Florida International,0.0,120
