,4,5,6,7,8,9,10,11,12,13,14,15,16
Air Force,0.5212182710817305,0.6336820063017947,0.6712414052513176,0.58204868123699,0.49527737167731417,0.45517960708435645,0.522333657954409,0.5262593426572548,0.5755442960744226,0.5328854348139554,0.5082683361954974,0.5072613774365521,0.5357540011168413
Akron,0.02412069299986569,0.023389733408401725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199019810805679,0.043348014672872026,0.043348014672872026,0.04337376228684131
Alabama,0.9178069926730636,1.0,0.7941670281589259,0.8050967521763095,0.7814025415277323,0.7632464856222043,0.7187928229407667,0.7711821315012555,0.7998972906021334,0.7037144245460729,0.6617849910008404,0.6617849910008404,0.7211893801561127
Arizona,0.8803276976109113,0.8354026530753351,0.6479268118688597,0.6566349283425811,0.6899267112832055,0.7257238452141678,0.6725263586176521,0.5731926839417236,0.5860750426749555,0.5040646119181391,0.41707487517541336,0.41707487517541336,0.3615187073168471
Arizona State,0.3568024114724009,0.2552878774409577,0.40761050494103473,0.41380608404024966,0.3232576797265939,0.3810596173706095,0.3423776776098323,0.29615727846390905,0.323169036465293,0.35397019000410296,0.4106594220885298,0.4106594220885298,0.3845876398391037
Arkansas,0.541157685822154,0.5429001096393753,0.671830553565947,0.582492534088389,0.6301755979794353,0.6662462317132105,0.7567262286131642,0.7636387888668852,0.8334260973042997,0.8635935933880519,0.8049137331986422,0.8049137331986422,0.7095402832458872
Arkansas State,0.1588796203721666,0.1194081449215239,0.2557390799313429,0.19598458591358373,0.2597094815513403,0.2734791861195464,0.36532163710501775,0.27959926853695427,0.27068126318300184,0.20342611107186567,0.20945477849332578,0.21002392909620796,0.19988794014749664
Army,0.5179144345127066,0.4510366353552414,0.5226918659197588,0.4290073328980161,0.4060839447148445,0.46159142211053417,0.42941505593518703,0.45857381102906225,0.41660266953694136,0.3792318916145837,0.36809211821119237,0.33616598746654636,0.3622075692783216
Auburn,0.9392356706907616,0.8995703321776751,0.9391424779105412,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
BYU,0.1940817453329951,0.19111822285437716,0.3155647277711084,0.2827445407126715,0.3312835545519439,0.3343019628051738,0.39887794102044394,0.42714686429055276,0.47955583910704613,0.40374574597797724,0.3902330228421082,0.3902330228421082,0.4122486822790072
Ball State,0.11412412516974318,0.3066050315583607,0.25538455330365495,0.18641013615755261,0.1526555697332529,0.1295171137389543,0.2102069824721701,0.23909128551192615,0.23984415998555067,0.21114418539222968,0.21528089315679755,0.21528089315679755,0.20482966846439685
Baylor,0.5239222240460807,0.6802046601673235,0.5382795082168031,0.6057401175166812,0.6558328343009947,0.6876235163826993,0.6430695424892674,0.5441688430446634,0.5227653198282934,0.48020696969283694,0.4613189655807226,0.4613189655807226,0.38105913358462634
Boise State,0.7225612940772687,0.7710117442538102,0.84090343761124,0.81726793079373,0.7424975387512117,0.7751896644468298,0.8258607851983419,0.8220468815210638,0.8897633384486388,0.7917357348771458,0.7753895361368678,0.7753895361368678,0.7728618571489791
Boston College,0.33467237700147734,0.25314595865311484,0.2613509770379156,0.22937566121508512,0.1803514927249552,0.29414686350789027,0.37021731433453325,0.40868695123566035,0.4894090709638977,0.5197767489855396,0.4948465253249398,0.4948465253249398,0.43783992711252356
Bowling Green,0.18603852983749422,0.16191266384172415,0.12923936744379094,0.10736892154347621,0.08444916648783529,0.16584685030423293,0.2105730431900401,0.15456996286677815,0.1489901142744674,0.08377429537121645,0.10205450414736439,0.10205450414736439,0.09714378199618495
Buffalo,0.09002133914315136,0.2810383145168459,0.29314077445333003,0.2620198687377903,0.22681167667057928,0.20179394546389423,0.20109296054779455,0.14183023394723004,0.11938880778672911,0.03965471032808893,0.06157630425574473,0.06157630425574473,0.059059185382869916
California,0.45748436870457976,0.49627127349591565,0.587864812943969,0.47472559919739776,0.5292829708894442,0.446040888537946,0.49261841873368767,0.43414326927812397,0.4168557918140567,0.3039520475619928,0.3028480277088391,0.3028480277088391,0.28491093740204476
Central Michigan,0.33257427663289213,0.2877707648087237,0.21781337775965112,0.19083127727351692,0.16154853894924728,0.12509757424849077,0.2222103070070133,0.18010388970453592,0.21416646484147558,0.14936499780949183,0.16044075753642184,0.16105994335713983,0.1495300692835312
Cincinnati,0.20547058033515886,0.25729941426892267,0.39090538318419676,0.49863883018007604,0.36996122538163934,0.3178709594486651,0.3416819819359854,0.27751019493321083,0.3767935828447219,0.28785474840583397,0.23327538570043244,0.23327538570043244,0.22409690365102547
Clemson,0.4366824347514662,0.35877016228603037,0.2545042896280785,0.45302936684106226,0.5421012377275141,0.4357687532363736,0.5405637685130548,0.4553452482339838,0.5164425560856183,0.4293951102096069,0.4082728223824063,0.4082728223824063,0.33069363818445696
Colorado,0.4415411934997687,0.5648502089074584,0.5178899036292862,0.4287528446178337,0.3328286901552854,0.28768923266747193,0.23006738971566776,0.2922645936025652,0.39573723591596843,0.3274338507141486,0.3197890223261698,0.3197890223261698,0.29482950031668553
Colorado State,0.2060048050378285,0.23480803231892214,0.19910993640138175,0.26709272114517835,0.2317993580050505,0.2784375799858793,0.27288270158124184,0.21628020543007898,0.20532408012542902,0.1735537167920418,0.1830118741647957,0.1830118741647957,0.17587398038459476
Connecticut,0.3661319445480728,0.5196708843255202,0.4186959472994727,0.4132403086463368,0.3125757230943942,0.4169055256234409,0.43541987626186085,0.492708579777073,0.5946049393411779,0.5973648804586013,0.6238189332395829,0.6238189332395829,0.5502269297610218
