,PCT,Rank
Auburn,1.0,1
Michigan State,0.9844107750653965,2
LSU,0.9493154186229465,3
Oklahoma,0.9424540352278168,4
Missouri,0.8880647262225092,5
Oklahoma State,0.8583843851049432,6
TCU,0.8566970171602555,7
Oregon,0.8523519063938363,8
Boise State,0.81726793079373,9
Florida State,0.8087635963525033,10
Alabama,0.8050967521763095,11
Ohio State,0.7987867073658235,12
Wisconsin,0.7897571154369905,13
Utah,0.7786631651608389,14
Stanford,0.7765221441949564,15
Iowa,0.7698667224327942,16
West Virginia,0.7201965113186957,17
Nebraska,0.7170235219354935,18
Kansas State,0.7048479174349394,19
Virginia Tech,0.7002752425107339,20
North Carolina,0.6814043832998151,21
Nevada,0.6750311115874205,22
Mississippi State,0.667199511382502,23
Arizona,0.6566349283425811,24
NC State,0.638058548427302,25
Hawai'i,0.6337605417028047,26
Michigan,0.6219031265861061,27
Georgia Tech,0.6128025624598805,28
Texas,0.611582388631213,29
Baylor,0.6057401175166812,30
East Carolina,0.6056332640524555,31
South Carolina,0.595683878768106,32
Miami,0.595621547580641,33
USC,0.5946934293497066,34
Purdue,0.5877268785410688,35
Northwestern,0.5867044995372054,36
Arkansas,0.582492534088389,37
Air Force,0.58204868123699,38
Northern Illinois,0.5725203871193524,39
Southern Mississippi,0.5655131076480683,40
Temple,0.562802096161479,41
Navy,0.5557358576041651,42
Notre Dame,0.5519109461731997,43
Rutgers,0.5387555881384857,44
Troy,0.5290654858410466,45
San Diego State,0.5254772010904745,46
UTEP,0.5244081922464534,47
Oregon State,0.5194281253176164,48
UCF,0.5142693897018025,49
Florida,0.5137187360752627,50
Washington,0.5038932755186543,51
Toledo,0.5032799745701401,52
Cincinnati,0.49863883018007604,53
Fresno State,0.4949710639448961,54
Syracuse,0.4903174322417051,55
Illinois,0.48237573819383817,56
Kentucky,0.48161843797622705,57
Maryland,0.4814800500946744,58
SMU,0.475279941059882,59
California,0.47472559919739776,60
Indiana,0.4712568132914329,61
Pittsburgh,0.46903723289992877,62
Tulsa,0.4623334425578064,63
Clemson,0.45302936684106226,64
Miami (OH),0.4522906395258868,65
UCLA,0.44958400123334613,66
Ole Miss,0.4460075188377968,67
Texas Tech,0.43070392143256564,68
Army,0.4290073328980161,69
Colorado,0.4287528446178337,70
Ohio,0.4201568311688394,71
Arizona State,0.41380608404024966,72
Connecticut,0.4132403086463368,73
Iowa State,0.41127139657635814,74
Texas A&M,0.39415092145569613,75
Louisiana Monroe,0.3869631028349204,76
Penn State,0.38357195429559093,77
Georgia,0.3742970946764371,78
Louisiana Tech,0.3698449723785376,79
Idaho,0.36388599494089946,80
Houston,0.3479251538903276,81
South Florida,0.3450560751489666,82
Louisville,0.32579573822229035,83
Kansas,0.3235824278318921,84
UAB,0.3081349892248187,85
Tulane,0.30112254622321216,86
Utah State,0.29072780644854335,87
BYU,0.2827445407126715,88
Vanderbilt,0.276911859011596,89
Wyoming,0.27641363102455563,90
Louisiana,0.2759160353065343,91
Colorado State,0.26709272114517835,92
Western Michigan,0.2639744493766697,93
Buffalo,0.2620198687377903,94
Tennessee,0.2606725561472013,95
Virginia,0.24142199304577847,96
Rice,0.24141627628006423,97
Middle Tennessee,0.24103952297831588,98
Boston College,0.22937566121508512,99
Kent State,0.22404579145143835,100
Florida International,0.22286444947835962,101
Wake Forest,0.20695445339473933,102
Arkansas State,0.19598458591358373,103
Central Michigan,0.19083127727351692,104
Marshall,0.18923142589888764,105
Ball State,0.18641013615755261,106
San José State,0.16882515406420154,107
Florida Atlantic,0.1620491269866486,108
New Mexico State,0.1592423794327525,109
UNLV,0.12923278422349704,110
Memphis,0.12897039258057602,111
Eastern Michigan,0.11649888617908932,112
Washington State,0.11136470367684992,113
Duke,0.10801720804437981,114
Bowling Green,0.10736892154347621,115
Minnesota,0.10322708526669344,116
North Texas,0.061513610934207485,117
New Mexico,0.04410302971195462,118
Western Kentucky,0.004070916768475208,119
Akron,0.0,120
