,PCT,Rank
Clemson,1.0,1
Michigan,0.99132713479927,2
Washington,0.9829651068594194,3
Florida,0.9300217575138414,4
Georgia Tech,0.9263745470577318,5
Auburn,0.922870946436749,6
Florida State,0.9060503407959231,7
Tennessee,0.8824177263037889,8
Houston,0.8811303243165793,9
Texas,0.8596217035457863,10
Colorado,0.8427817249814731,11
Miami,0.8317888873698336,12
Texas A&M,0.8212672229642224,13
Michigan State,0.76862945261079,14
Syracuse,0.7273926292084171,15
Notre Dame,0.6596878546879472,16
Louisiana Tech,0.6414745006849538,17
Colorado State,0.6238423158656071,18
Ole Miss,0.6175314841744851,19
Penn State,0.5865175821033035,20
Virginia,0.5850858887938495,21
BYU,0.5759882314995594,22
Air Force,0.5705621923392942,23
Nebraska,0.569309573555618,24
Illinois,0.5655812118323649,25
San José State,0.5644267078308796,26
Toledo,0.5631981115733505,27
California,0.5623640100663907,28
Fresno State,0.5618576217817313,29
North Carolina,0.5562835639561509,30
Louisville,0.550881450507927,31
Oklahoma,0.5428135918073971,32
Alabama,0.540591437001467,33
Virginia Tech,0.537711469914626,34
NC State,0.5202931137803586,35
Baylor,0.5118380601128313,36
Arizona,0.49556879059943726,37
Indiana,0.4888650830579663,38
Oregon,0.4803140487278831,39
Iowa,0.46466624579638627,40
Ohio State,0.46174086026603256,41
South Carolina,0.4609639312768825,42
Maryland,0.45593703983729383,43
USC,0.4515985051080419,44
Wyoming,0.4506661600140375,45
Minnesota,0.43960500531822616,46
Stanford,0.4353372913701061,47
Central Michigan,0.43077523307541354,48
Temple,0.4170319294503388,49
Southern Mississippi,0.41331790463335105,50
Kansas State,0.40524233026952555,51
Western Michigan,0.4018934697383806,52
Georgia,0.3819969082188034,53
San Diego State,0.3772322398892307,54
LSU,0.376478403168951,55
Hawai'i,0.37584263251339806,56
Missouri,0.37088937367331637,57
Navy,0.36837071851277214,58
Army,0.3631595266903508,59
Rice,0.36299339368492334,60
Akron,0.35914186589822605,61
Ball State,0.3554642196128615,62
Mississippi State,0.3542677993129054,63
UCLA,0.3461673378308756,64
Memphis,0.3409600859216265,65
TCU,0.3385921981051382,66
Arizona State,0.33451373131972256,67
Oklahoma State,0.3235352945958444,68
Iowa State,0.3177936591300068,69
East Carolina,0.3112964796481815,70
Texas Tech,0.30878018843554067,71
Kentucky,0.30848075503445394,72
Long Beach State,0.2978842272274004,73
Northern Illinois,0.2872919019943972,74
Utah State,0.27682420934807445,75
Wake Forest,0.2756376388310488,76
Tulane,0.2725933992533339,77
UNLV,0.26662062221472765,78
Boston College,0.26423421680633,79
Utah,0.26409500654091256,80
West Virginia,0.2557312275285411,81
Louisiana,0.24901433222214653,82
Kansas,0.2342636256315517,83
Rutgers,0.23237936215695015,84
Duke,0.22783598561721566,85
Bowling Green,0.22760142945303108,86
Arkansas State,0.2218151416379086,87
Arkansas,0.21647984255056324,88
Pittsburgh,0.21387162003057114,89
UTEP,0.18972454885039247,90
Miami (OH),0.18437874332792123,91
Pacific,0.16897972402484196,92
Washington State,0.16617897108116866,93
Purdue,0.14908762774019318,94
Eastern Michigan,0.14167336780232037,95
Tulsa,0.13778730011014687,96
Cal State Fullerton,0.1338610015268039,97
New Mexico State,0.09622666635672686,98
Ohio,0.09169885247402254,99
SMU,0.0859846650699512,100
New Mexico,0.08324773871966745,101
Kent State,0.07259684011083767,102
Vanderbilt,0.057583144315998924,103
Cincinnati,0.05008811615809611,104
Northwestern,0.03467517582847507,105
Oregon State,0.014336687381416802,106
Wisconsin,0.0,107
