,PCT,Rank
Washington,1.0,1
Houston,0.9751629836739459,2
Auburn,0.9657328444425219,3
Virginia,0.9366464185606105,4
Wyoming,0.8896952843590551,5
Nebraska,0.8791228657781646,6
Georgia Tech,0.8758779111254141,7
Colorado,0.8500686245372616,8
Ole Miss,0.834875527439638,9
Clemson,0.8058700376676728,10
Iowa,0.8053031028665121,11
Florida,0.7865010629891082,12
Illinois,0.780280037181856,13
North Carolina,0.7688350090474618,14
Arizona,0.7583669204495094,15
Miami,0.7512695082319958,16
Texas,0.7442772577750794,17
Toledo,0.7378414271560624,18
Notre Dame,0.737124663224419,19
BYU,0.7357178169288077,20
USC,0.722649306361256,21
Penn State,0.7175526418158447,22
Central Michigan,0.7122494646317337,23
Texas A&M,0.7100688168264686,24
Louisville,0.6884313169824354,25
Florida State,0.6878676998590332,26
Oregon,0.6856794777900553,27
Fresno State,0.6788780429899663,28
Syracuse,0.6734130818507449,29
Michigan,0.6070036301455302,30
California,0.6056064316622305,31
San José State,0.5861067142700601,32
Indiana,0.5856234716635065,33
Southern Mississippi,0.5652252972860354,34
Tennessee,0.5644542673579129,35
Minnesota,0.5565769225972845,36
Ohio State,0.5449369674190437,37
TCU,0.5449135361514306,38
LSU,0.5405381471481969,39
Western Michigan,0.5401395548470899,40
Louisiana Tech,0.5312034976090875,41
Memphis,0.5226017179661091,42
Oklahoma,0.5225844840989878,43
Temple,0.5113909600598975,44
NC State,0.5102975386361287,45
Northern Illinois,0.5062048819428103,46
Maryland,0.5056719951128451,47
Boston College,0.502175631704231,48
Baylor,0.4891251433228454,49
South Carolina,0.48548243016797776,50
Colorado State,0.4671175799049204,51
Air Force,0.45003765026918685,52
Virginia Tech,0.43775820158568984,53
Hawai'i,0.4326784555797818,54
Michigan State,0.4255321008775619,55
Iowa State,0.4236330948742001,56
Bowling Green,0.41644466212695763,57
UCLA,0.4087651915106056,58
Alabama,0.4057130324082841,59
Kansas State,0.3986694138695998,60
Georgia,0.3774379687434106,61
Ball State,0.37137939426734934,62
Kentucky,0.3629487859769976,63
UNLV,0.36231079330992316,64
Navy,0.35822687617757243,65
Long Beach State,0.35675557368271615,66
Missouri,0.33763715913793224,67
Washington State,0.3347535850953707,68
Utah,0.32983804897852304,69
Mississippi State,0.32777132203435444,70
Rice,0.3228329276971994,71
Oklahoma State,0.3146474563098653,72
West Virginia,0.3145499988519346,73
Akron,0.3132218443152107,74
Pittsburgh,0.3114221762812791,75
Arkansas State,0.3095939431361763,76
Miami (OH),0.30323364864164765,77
San Diego State,0.29861807095340154,78
Pacific,0.29228135629430596,79
Rutgers,0.2916326242962422,80
Duke,0.28532766070268034,81
Utah State,0.2705294993185937,82
Army,0.2552853130828643,83
Stanford,0.254017841594401,84
UTEP,0.25295430352642867,85
Louisiana,0.24922682653469655,86
Kansas,0.2394326203443382,87
Tulane,0.22670105856057438,88
Arizona State,0.2257243312638756,89
East Carolina,0.2223691039153868,90
Eastern Michigan,0.20543534732789848,91
Northwestern,0.20010475062189506,92
Arkansas,0.19691387768762492,93
Wake Forest,0.15988527083563395,94
New Mexico,0.14719582449151408,95
Texas Tech,0.1427878314211134,96
SMU,0.13010718595166465,97
Tulsa,0.11916400104751163,98
Vanderbilt,0.11397264793059292,99
Oregon State,0.11029362965170891,100
Kent State,0.08686616112999329,101
Cincinnati,0.06269014425914105,102
Cal State Fullerton,0.06061833771045971,103
Wisconsin,0.055456331622876,104
Purdue,0.05118543734104741,105
Ohio,0.03765689106682718,106
New Mexico State,0.0,107
