,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Air Force,51,59,74,52,65,64,52,59,51,48,51,51,51,35
Akron,18,17,30,43,58,61,74,84,87,84,83,85,85,84
Alabama,96,103,82,67,72,44,59,43,38,36,36,21,20,28
Arizona,7,3,24,12,30,21,15,28,42,43,39,39,39,46
Arizona State,16,9,28,47,69,80,89,77,67,62,73,80,80,80
Arkansas,21,73,38,55,87,89,93,97,96,97,94,94,94,94
Arkansas State,77,90,70,60,71,78,76,80,89,89,88,88,88,89
Army,34,31,58,93,93,79,83,71,81,72,69,69,57,57
Auburn,8,10,2,3,4,3,3,9,16,11,14,22,22,16
BYU,6,6,22,22,18,18,20,15,9,9,8,13,13,18
Ball State,84,92,65,82,70,76,62,52,45,41,46,46,46,47
Baylor,86,70,51,70,48,66,49,50,43,37,44,45,45,48
Boston College,94,93,76,59,45,53,48,54,64,68,76,73,73,73
Bowling Green,67,85,97,77,83,71,57,51,63,61,59,58,58,58
Cal State Fullerton,91,87,101,102,103,103,103,102,101,101,100,101,101,100
California,43,86,42,36,28,24,31,42,31,44,49,49,49,42
Central Michigan,92,69,49,41,29,25,23,29,28,34,32,33,33,38
Cincinnati,103,106,103,99,102,102,102,100,99,102,101,100,100,101
Clemson,22,18,19,7,16,11,10,6,10,8,11,12,12,6
Colorado,56,20,10,10,9,8,8,8,8,7,9,10,10,5
Colorado State,33,30,54,44,57,46,51,36,36,42,40,40,40,24
Duke,58,71,89,64,51,72,81,64,79,85,84,83,83,83
East Carolina,76,55,78,88,96,82,90,75,69,63,60,60,60,60
Eastern Michigan,39,50,64,74,75,88,91,92,93,96,96,96,96,96
Florida,26,25,8,1,14,7,12,4,1,1,2,6,6,10
Florida State,19,12,13,26,27,40,26,23,23,19,17,9,9,9
Fresno State,5,11,16,25,22,22,28,24,19,28,29,30,30,27
Georgia,36,51,25,39,53,41,61,60,71,78,74,81,81,81
Georgia Tech,1,15,6,2,1,9,7,3,2,3,3,2,2,2
Hawai'i,93,66,73,56,77,62,54,47,57,47,54,44,44,45
Houston,31,22,11,11,3,2,2,2,4,5,6,3,3,7
Illinois,53,42,46,24,21,12,13,26,33,26,19,19,19,29
Indiana,9,23,18,14,10,15,33,46,40,52,48,48,48,54
Iowa,47,38,45,33,20,14,11,5,15,12,23,24,24,30
Iowa State,89,97,75,49,60,47,56,62,58,64,61,61,61,62
Kansas,81,74,92,90,94,95,87,78,83,86,86,86,86,86
Kansas State,30,61,39,46,43,48,60,53,60,65,64,62,62,61
Kent State,95,101,107,107,107,101,101,101,104,95,95,95,95,95
Kentucky,66,89,94,97,76,85,63,69,66,71,81,79,79,79
LSU,13,44,20,32,41,34,39,49,62,75,66,67,68,68
Long Beach State,104,96,77,65,73,75,66,66,59,53,55,55,55,55
Louisiana,32,63,88,98,97,81,86,90,80,66,65,64,65,65
Louisiana Tech,90,62,40,50,46,45,41,39,34,32,31,32,32,20
Louisville,42,33,44,37,26,28,25,25,18,21,22,23,23,14
Maryland,45,24,37,45,38,38,47,44,54,40,43,43,43,52
Memphis,82,53,36,28,42,49,42,55,72,73,70,70,70,70
Miami,20,40,7,4,8,19,16,19,17,15,13,8,8,4
Miami (OH),100,94,100,79,63,65,77,65,61,67,67,66,67,66
Michigan,70,35,5,16,36,51,30,30,21,14,10,11,11,8
Michigan State,98,91,60,89,56,74,55,40,30,33,28,29,29,17
Minnesota,61,75,84,51,44,16,36,35,46,57,47,47,47,49
Mississippi State,63,43,56,53,85,73,70,87,77,56,63,65,66,67
Missouri,85,80,33,54,67,59,67,76,82,76,72,72,72,72
NC State,27,60,31,29,40,52,45,58,44,50,52,52,52,43
Navy,54,45,67,78,59,57,65,74,65,54,56,56,63,64
Nebraska,24,5,9,8,6,5,6,11,14,16,18,18,18,26
New Mexico,71,102,105,94,92,94,95,96,98,99,99,99,99,98
New Mexico State,105,104,104,105,106,106,107,107,106,98,97,97,97,97
North Carolina,44,28,52,34,37,27,14,27,35,35,33,34,34,32
Northern Illinois,68,57,90,68,49,42,46,38,48,58,57,57,56,56
Northwestern,107,107,98,95,101,87,92,91,97,100,104,104,104,104
Notre Dame,48,16,1,31,24,23,19,16,7,13,7,7,7,13
Ohio,99,81,93,100,104,105,106,104,105,103,102,102,102,102
Ohio State,35,26,47,66,64,56,37,34,25,24,35,36,36,44
Oklahoma,3,8,12,15,23,39,43,37,37,39,34,35,35,34
Oklahoma State,40,68,63,71,80,86,72,83,86,82,79,78,78,78
Ole Miss,46,21,17,18,12,10,9,7,11,22,15,14,14,21
Oregon,17,41,26,23,39,31,27,18,27,23,25,26,26,31
Oregon State,101,105,106,106,81,92,100,103,103,106,103,103,103,103
Pacific,75,84,96,92,79,70,79,67,78,83,80,77,77,77
Penn State,87,78,86,48,34,32,22,20,12,6,5,5,5,12
Pittsburgh,49,64,80,73,54,67,75,81,88,87,87,87,87,87
Purdue,72,54,81,101,100,100,105,105,92,93,98,98,98,99
Rice,52,48,41,72,82,58,71,61,56,69,68,68,69,69
Rutgers,14,47,87,91,90,93,80,86,90,91,91,91,91,91
SMU,64,39,79,85,98,99,97,99,102,105,106,105,105,105
San Diego State,59,76,53,63,84,84,78,63,53,49,45,53,53,51
San José State,37,34,27,40,32,36,32,32,29,27,27,28,28,19
South Carolina,2,4,23,20,19,35,50,57,50,55,53,54,54,53
Southern Mississippi,65,79,50,38,33,29,34,33,24,25,26,27,27,36
Stanford,106,100,95,58,61,77,84,68,55,46,50,50,50,50
Syracuse,41,32,29,21,31,33,29,22,32,30,37,37,37,23
TCU,83,56,32,19,17,20,38,45,68,70,71,71,71,71
Temple,73,49,48,69,66,50,44,56,49,45,42,42,42,41
Tennessee,15,19,34,35,15,37,35,31,39,29,20,17,17,15
Texas,50,58,55,27,25,13,17,17,5,2,1,1,1,1
Texas A&M,12,13,35,30,35,30,24,21,22,18,12,15,15,11
Texas Tech,88,67,102,104,86,97,96,95,85,77,75,74,74,75
Toledo,25,14,15,13,11,17,18,14,26,20,21,20,21,22
Tulane,11,29,61,76,88,98,88,88,76,74,85,84,84,85
Tulsa,69,95,99,103,105,107,98,93,94,90,89,89,89,88
UCLA,60,72,43,62,50,68,58,70,52,59,58,59,59,59
UNLV,74,82,68,61,47,54,64,72,75,81,78,75,75,74
USC,23,36,21,17,13,26,21,12,13,10,16,16,16,25
UTEP,78,88,85,87,74,83,85,85,84,88,90,90,90,90
Utah,28,65,72,80,78,60,69,79,74,79,77,76,76,76
Utah State,79,77,83,86,91,91,82,73,70,60,62,63,64,63
Vanderbilt,102,27,71,84,89,96,99,94,100,104,105,107,107,107
Virginia,4,2,3,5,2,1,4,10,6,17,24,25,25,33
Virginia Tech,38,52,69,57,52,69,53,41,47,51,38,38,38,37
Wake Forest,97,98,57,81,95,90,94,98,95,94,92,92,92,92
Washington,29,1,14,9,5,4,1,1,3,4,4,4,4,3
Washington State,57,37,62,75,68,55,68,89,91,92,93,93,93,93
West Virginia,80,83,66,83,62,63,73,82,73,80,82,82,82,82
Western Michigan,55,46,59,42,55,43,40,48,41,38,41,41,41,39
Wisconsin,62,99,91,96,99,104,104,106,107,107,107,106,106,106
Wyoming,10,7,4,6,7,6,5,13,20,31,30,31,31,40
