,PCT,Rank
Ohio State,1.0,1
LSU,0.9867467284493776,2
Clemson,0.9723790671870554,3
Oklahoma,0.8926923846166761,4
Oregon,0.8215807429571154,5
Penn State,0.8205339023539161,6
Baylor,0.787565104346615,7
Utah,0.7752406898973918,8
Georgia,0.7713894241010475,9
Minnesota,0.7452287290237535,10
Florida,0.7305901321536836,11
Michigan,0.7280269547919599,12
Alabama,0.7206831712265815,13
Notre Dame,0.7191111334618159,14
Appalachian State,0.712807260745766,15
Memphis,0.7108479670123815,16
Wisconsin,0.7107036006937935,17
SMU,0.6852241750501158,18
Iowa,0.6518417027202084,19
Boise State,0.6448571504880514,20
Auburn,0.642263489316736,21
Navy,0.6303305455479731,22
Air Force,0.6019233593071301,23
Cincinnati,0.595279772287735,24
Virginia Tech,0.5857621569165727,25
USC,0.580247181596052,26
Louisiana Tech,0.5796120465546156,27
San Diego State,0.5743212256726351,28
Kansas State,0.5701140335026078,29
Wake Forest,0.5675962229295581,30
Florida Atlantic,0.5550112923794329,31
Virginia,0.5523033577899286,32
UCF,0.5513064967038774,33
Oklahoma State,0.5414185695007404,34
Louisiana,0.5370708063850144,35
Indiana,0.53503857610371,36
Louisville,0.5245025783185778,37
UAB,0.5163036062660263,38
Iowa State,0.509829979456182,39
Texas,0.5059962548214305,40
Texas A&M,0.49600835436911783,41
Temple,0.4945885863960726,42
Wyoming,0.48280652646825606,43
Western Kentucky,0.48237531098405706,44
Georgia State,0.4803421930624848,45
Marshall,0.4757475095886076,46
Hawai'i,0.47529454127702,47
Washington,0.4699303046026027,48
Arizona State,0.4637831509356305,49
Tennessee,0.4624746286113909,50
Southern Mississippi,0.44412759705655325,51
Georgia Southern,0.4433959074445173,52
Utah State,0.4421464266232567,53
Kentucky,0.43218181014394985,54
Pittsburgh,0.43109725746481375,55
Central Michigan,0.4119487341310018,56
Tulane,0.41001879412426995,57
California,0.4098968304561442,58
Florida State,0.40944186901534807,59
North Carolina,0.4061719491555232,60
Boston College,0.4038306163143827,61
Miami,0.4015480888512745,62
Miami (OH),0.40046829499798753,63
Western Michigan,0.3990331939080016,64
Buffalo,0.39901803057990215,65
BYU,0.3882497577113235,66
Toledo,0.38683020533062096,67
Michigan State,0.3833904295036968,68
Arkansas State,0.37715365101999576,69
Florida International,0.3737187106213281,70
Nevada,0.3713066018939874,71
TCU,0.36588661039985554,72
Washington State,0.3655663633743073,73
Missouri,0.3654155719300791,74
Liberty,0.34950485704277084,75
Illinois,0.34830647160671746,76
Oregon State,0.34666818539494704,77
West Virginia,0.34230604392836916,78
Duke,0.3420837374241946,79
Ohio,0.3354972168292109,80
South Florida,0.33514936371750187,81
Charlotte,0.3327121230827898,82
Ball State,0.33164597788319494,83
Syracuse,0.32741458803928114,84
Eastern Michigan,0.32571434469475496,85
San José State,0.3251396576396757,86
Mississippi State,0.3239302769941474,87
Louisiana Monroe,0.3225336082006715,88
Nebraska,0.3118735216228932,89
Troy,0.31095103278761516,90
Kent State,0.3087457079157785,91
Colorado,0.3063435780340117,92
South Carolina,0.3036272993101029,93
Coastal Carolina,0.29377688517458644,94
UCLA,0.29153654194652273,95
Houston,0.2795471437828925,96
Northern Illinois,0.2737697207172569,97
UT San Antonio,0.2685724463793808,98
Fresno State,0.26635196844574677,99
Colorado State,0.2648408201183256,100
Arizona,0.2642766457565259,101
Stanford,0.263486284228384,102
NC State,0.2538147501394519,103
Army,0.2536414281108439,104
East Carolina,0.24815619031872868,105
Tulsa,0.23850914136014,106
Georgia Tech,0.23187034475521556,107
North Texas,0.23021284002604353,108
Middle Tennessee,0.2269432897530918,109
UNLV,0.2246909349516521,110
Purdue,0.21861474196431663,111
Kansas,0.21618082761146254,112
Texas Tech,0.21539471633236135,113
Texas State,0.21012459231527492,114
Ole Miss,0.20215685371137163,115
Maryland,0.20109872649366284,116
Bowling Green,0.18478191776322483,117
Vanderbilt,0.1655895588991725,118
Rutgers,0.15908538431277777,119
Connecticut,0.15535135573704728,120
New Mexico,0.14837956135945232,121
Northwestern,0.1447301681776636,122
South Alabama,0.12425533259762378,123
Arkansas,0.11453796973642627,124
Rice,0.10256815967707075,125
UMass,0.06533320617860172,126
UTEP,0.055297813813094565,127
Old Dominion,0.05489487172468838,128
New Mexico State,0.04753299893513174,129
Akron,0.0,130
