Rank_W5,School,PCT_W5
1,SMU,0.9999999999999999
2,UAB,0.9261281626356506
3,Pittsburgh,0.7396348029295188
4,Army,0.683274401838968
5,UTEP,0.6393468913954926
6,UT San Antonio,0.6309462896069281
7,Southern Mississippi,0.3523670604766959
8,Texas State,0.24705406169096472
9,Louisiana Monroe,0.04097202599604405
10,Duke,0.03512978929763333
11,Middle Tennessee,0.0
